version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,924,932.8,993
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,929.3,946.2,1037
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,913.9,916.2,921.3
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,935.6,974.4,1008
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,926.9,930.9,938.2
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,931.2,932.9,934.9
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,40,911.6,930.1,945.8
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,938,950.4,1034
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,903.2,906.7,912.8
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,943.1,947.4,956.7
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,933,936.9,942.9
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,925.7,932.8,944.4
