version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,1563,1588,1707
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,1554,1561,1579
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,1582,1605,1738
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,1560,1570,1585
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,1574,1581,1596
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,1579,1603,1654
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,1580,1598,1607
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,1571,1583,1596
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,1582,1620,1780
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,1569,1590,1603
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,1601,1627,1682
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,1576,1607,1730
