version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,147.3,148.5,149.6
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,149.4,151,157
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,151.9,155.7,181.6
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,144.6,147,153.7
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,146,148.1,152.6
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,146.3,147.4,150.1
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,145.4,146.9,152.5
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,146.1,149.1,155.3
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,148.1,151,155.5
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,149.2,150.9,158.4
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,148.5,150.9,152.1
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,148.9,150.9,152.1
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,147.6,148.5,151.3
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,146.5,148.2,152.3
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,40,147.8,150.1,168.3
3.8.5-RC1-bin-20260420-a3bfb09-NIGHTLY,20,150,152.8,160.7
3.8.5-RC1-bin-20260421-d23d5ef-NIGHTLY,20,148.1,149.1,150.4
3.8.5-RC1-bin-20260422-7154a4d-NIGHTLY,20,148.3,150.3,152.3
