version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,10,73.97,74.21,75.01
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,10,69.6,69.9,70.47
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,10,69.68,70.14,70.92
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,10,69.73,69.98,70.39
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,10,69.93,70.16,70.78
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,10,69.71,70.06,70.55
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,10,69.78,70.27,70.81
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,69.72,70.19,70.88
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,10,74.13,74.37,75.17
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,10,74.25,74.55,74.95
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,10,69.69,69.9,70.57
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,10,69.64,69.87,70.31
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,10,69.93,70.18,70.87
