version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,10,77.66,78,78.68
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,10,78.22,78.29,78.51
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,10,78.42,106.7,254.7
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,10,78.32,78.46,78.67
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,10,78.01,78.17,78.43
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,10,77.96,78.1,78.29
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,10,78.12,78.28,78.6
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,77.69,92.51,258
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,10,77.02,77.3,77.9
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,10,79.02,108.9,215.7
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,10,77.67,84.26,113.2
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,10,77.45,77.6,77.87
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,10,78.61,78.75,78.96
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,10,77.6,77.84,78.23
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,20,77.5,92,266.1
