version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,10,22.3,22.35,22.43
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,10,22.26,22.3,22.37
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,10,22.27,22.29,22.35
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,10,22.29,22.36,22.45
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,10,22.27,22.3,22.36
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,10,22.24,22.28,22.35
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,22.25,22.32,22.41
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,10,22.31,22.36,22.42
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,10,22.29,22.33,22.42
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,10,22.3,22.32,22.4
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,10,22.24,22.29,22.39
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,10,22.28,22.33,22.44
