version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,10,93.23,93.68,96.61
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,10,93.06,93.58,96.28
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,10,92.69,93.18,95.96
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,10,92.9,93.4,96.4
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,10,93.13,93.6,96.46
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,10,92.92,93.07,93.19
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,92.96,93.4,96.39
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,10,93.01,93.59,96.51
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,10,92.71,93.14,95.76
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,10,93.2,93.63,96.38
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,10,92.75,93.26,96.54
