version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,4522,4523,4529
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,4372,4373,4379
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,4345,4346,4352
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,4348,4349,4350
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,4364,4365,4371
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,4397,4398,4404
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,4386,4387,4393
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,4382,4383,4383
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,4378,4379,4385
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,4398,4398,4398
