version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,158.3,158.3,158.3
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,158.5,158.5,158.5
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,158.7,158.7,158.7
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,158.4,158.4,158.4
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,158.2,158.3,158.3
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,158.7,158.7,158.8
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,158.1,158.2,158.2
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,158.8,158.8,158.8
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,158.6,158.6,158.6
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,159.1,159.1,159.1
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,158.8,159,159.1
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,158.6,158.6,158.6
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,159.3,159.3,159.3
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,159,159,159.1
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,158.5,159,159.5
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,158.6,158.9,159
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,158.7,159,159.4
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,159.2,159.2,159.2
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,159.1,159.1,159.1
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,158,158.4,158.8
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,158.4,158.4,158.4
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,120,158.1,158.8,159.3
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,158.3,158.3,158.3
