version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,201.5,201.5,201.5
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,205.1,205.1,205.3
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,205.2,205.2,205.4
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,205.5,205.6,205.7
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,204.8,204.8,205
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,204.1,204.1,204.1
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,205.3,205.3,205.3
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,205.5,205.5,205.5
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,190.7,190.7,190.9
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,205.2,205.2,205.2
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,205.1,205.3,205.6
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,205.4,205.5,205.6
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,205.5,205.6,205.6
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,207.5,207.5,207.7
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,207.7,207.8,208
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,207.7,210.4,212.1
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,198.5,207.4,211.8
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,212.1,212.1,212.3
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,206.7,206.7,206.7
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,205.2,206.1,206.7
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,206.6,206.6,206.6
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,205.5,206.2,206.6
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,206.2,206.2,206.4
