version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,102,102.1,102.1
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,102.6,102.6,102.6
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,102.8,102.8,102.8
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,103.4,103.4,103.4
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,103.8,103.8,103.8
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,102.5,102.5,102.5
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,103.1,103.1,103.1
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,103.7,103.7,103.7
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,106.3,106.4,106.4
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,102.9,103,103
