version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,3,78.3,332
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,1,72.8,235
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,0,74.45,375
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,0,99.85,618
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,0,114.1,601
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,0,92,515
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,0,92.4,389
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,0,86.4,398
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,0,81.1,508
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,0,66.8,361
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,0,76.85,360
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,0,71.6,235
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,1,68.9,224
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,0,71.9,362
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,1,82.85,488
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,0,89.42,574
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,0,84.58,634
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,0,89.7,511
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,0,90,402
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,0,82.01,496
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,1,86.1,336
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,0,84.56,569
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,0,76.6,364
3.9.0-RC1-bin-20260521-30e84c0-NIGHTLY,20,0,76.1,355
