version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,7,187.1,783
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,4,151.7,611
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,1,191.1,842
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,2,166.9,715
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,5,153.7,604
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,1,207.2,1033
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,0,167.5,826
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,0,178,699
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,1,185.3,711
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,6,171.6,744
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,1,182.3,982
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,3,199.4,863
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,6,197.4,729
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,5,200.6,1007
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,4,179.5,796
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,3,207.4,1142
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,0,192.1,989
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,8,171.1,739
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,1,200.4,920
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,0,194.2,1081
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,7,182.9,810
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,0,188.6,968
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,6,195.2,709
3.9.0-RC1-bin-20260521-30e84c0-NIGHTLY,20,7,215.4,1080
3.9.0-RC1-bin-20260522-7db439f-NIGHTLY,20,0,232.7,1371
