version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,13,157.5,520
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,30,164.4,440
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,15,176.2,449
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,30,189.5,536
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,12,153.8,437
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,10,161.4,485
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,20,179.3,555
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,12,156.7,448
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,12,157.1,465
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,14,148.1,400
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,7,148.3,464
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,11,162.3,452
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,14,178.9,522
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,12,160.6,419
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,21,158.7,552
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,11,148.3,470
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,80,12,155.1,557
