version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,0,81.9,361
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,0,98.05,461
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,0,87.7,418
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,0,93.3,432
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,0,98.15,433
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,0,91.35,415
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,0,90.7,441
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,0,93.7,434
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,0,86.45,410
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,0,85.95,431
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,1,89.2,447
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,0,92.4,491
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,0,88.4,487
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,0,102.8,487
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,0,94.25,466
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,0,94.97,447
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,0,93.38,484
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,0,86.25,428
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,40,0,91.95,419
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,0,87.38,403
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,0,98.7,380
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,0,96.61,511
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,0,95.2,414
3.9.0-RC1-bin-20260521-30e84c0-NIGHTLY,20,0,92.6,406
3.9.0-RC1-bin-20260522-7db439f-NIGHTLY,20,3,99.1,445
