version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,24,183.2,542
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,20,207.6,592
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,14,198.7,557
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,23,207.8,638
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,21,208.6,638
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,19,192.8,593
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,19,203.8,593
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,40,198.4,542
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,22,225.7,619
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,13,197.8,580
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,20,201,558
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,15,209.4,762
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,19,227.2,836
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,18,202.7,609
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,13,212.2,745
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,11,200.8,621
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,12,206.3,701
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,22,201.3,699
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,24,198.2,545
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,11,207.6,599
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,13,196.3,563
