version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,63,283.1,1346
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,63,280.7,1332
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,63,285,1314
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,1,174,868
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,68,307.4,1684
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,57,269.4,1238
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,76,266.6,1046
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,1,171.2,1071
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,1,176.4,1133
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,63,251.5,1333
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,1,186,1271
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,68,286.7,1317
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,79,292.1,1177
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,64,259.1,1475
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,63,255.9,1241
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,67,259.4,1220
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,63,272.9,1639
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,71,274.7,1333
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,80,1,240.2,1320
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,57,260,1582
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,77,268.5,1466
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,48,265.4,1380
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,67,242.8,1096
3.9.0-RC1-bin-20260521-30e84c0-NIGHTLY,20,81,253.8,1006
3.9.0-RC1-bin-20260522-7db439f-NIGHTLY,20,75,271.8,1202
3.9.0-RC1-bin-20260523-4e44c38-NIGHTLY,20,50,228.3,1190
