version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,3,56.65,184
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,1,58.75,217
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,4,55.6,204
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,1,52.2,183
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,2,56.5,184
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,1,55.65,162
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,2,46.05,195
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,2,56.55,162
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,2,57.8,171
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,1,55.7,186
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,0,55.03,231
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,1,45.4,162
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,7,46.7,166
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,2,56.2,193
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,2,56.45,185
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,20,1,51.4,203
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,20,0,59,210
