version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,0,59.9,211
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,0,53.05,245
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,2,59.3,251
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,1,57.5,238
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,0,61.6,221
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,0,64.6,420
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,0,52.1,226
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,2,62.1,218
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,0,45.3,179
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,1,46.55,134
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,0,58.2,235
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,0,57.55,239
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,3,66.75,286
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,0,52.75,248
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,0,68.93,443
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,20,3,62.15,209
