version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,0,37.2,235
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,0,36.1,166
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,0,32.6,167
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,0,35.9,159
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,0,38.45,176
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,0,32.1,172
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,0,36.2,180
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,0,33.7,163
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,0,41.3,154
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,0,34.2,209
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,0,33.18,177
