version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,1,23.55,100
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,2,23.55,80
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,2,28.95,103
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,2,26.1,100
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,1,31.6,98
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,2,30.75,105
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,2,33.15,99
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,2,28.45,77
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,3,29.4,79
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,1,28.05,77
