version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,0,14.25,60
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,1,22.15,113
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,0,19.05,118
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,0,24.1,114
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,0,23.6,140
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,0,25,137
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,0,24.05,116
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,0,24,112
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,0,15.9,106
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,0,16.85,108
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,0,17.45,114
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,0,23.05,123
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,0,27.8,117
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,0,17.9,124
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,0,31.35,130
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,0,25.83,135
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,0,24.97,135
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,1,22.8,129
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,60,0,24.48,128
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,0,25.22,127
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,0,25.75,129
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,0,22,120
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,0,24.55,116
