version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,0,11.8,47
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,0,13.75,47
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,0,13.4,47
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,0,18.65,89
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,0,14.6,44
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,0,14.3,66
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,0,13.05,44
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,0,17.45,62
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,1,15.9,46
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,0,13.5,48
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,0,15.2,58
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,0,14.55,84
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,0,22.05,133
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,0,16.15,77
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,0,21.18,120
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,0,16.74,127
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,0,15.98,126
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,0,20.95,115
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,1,13.95,46
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,40,0,17.75,64
