version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,26683,27327,28237
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,26567,27343,28095
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,26374,27065,28095
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,26466,27332,28008
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,26666,27078,27684
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,26400,27333,28232
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,26988,27487,28219
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,26743,28495,31900
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,26444,27807,29907
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,26747,29015,33547
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,26594,27596,28600
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,27004,28188,29758
