version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,1112,1129,1248
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,1096,1115,1157
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,1112,1130,1209
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,1106,1122,1134
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,1102,1106,1116
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,1108,1112,1114
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,1103,1107,1115
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,1094,1100,1135
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,1123,1128,1153
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,1125,1127,1129
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,1109,1119,1133
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,1110,1120,1151
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,1094,1098,1101
