version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,4458,4498,4704
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,4541,4631,4975
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,4454,4526,4715
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,4491,4565,4678
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,4450,4512,4702
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,4473,4542,4760
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,4443,4504,4790
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,4472,4513,4755
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,4485,4494,4511
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,4590,4642,4982
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,4516,4544,4745
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,4475,4507,4704
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,4592,4681,4891
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,4573,4610,5020
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,4463,4527,4668
