version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,780.1,791.7,860.9
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,780.6,782,783.9
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,789.3,793.6,799
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,773.2,775.3,779.4
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,780.3,807,841.4
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,827.7,848.9,927.1
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,786.8,796,831.3
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,776,778.6,784
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,775,793.3,827.7
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,789.9,799.4,885
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,779.7,797.2,839.6
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,788.4,793.4,818.7
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,793.7,798,813
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,770.9,781.3,861.6
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,779.3,784.5,791
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,776.2,798.7,863.9
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,772.4,793.9,844.8
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,769.6,771.6,775.3
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,775,799.7,829.6
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,20,772,775.4,786.5
