version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,27727,28710,30826
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,28150,28882,30706
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,28786,29190,30354
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,28237,28787,31033
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,27950,28384,30009
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,27877,28375,29689
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,27820,28458,30080
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,27964,28825,30342
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,28754,29617,31827
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,28309,28811,31130
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,27549,28161,30094
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,28132,28548,29107
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,28267,28847,30069
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,27968,28777,30516
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,27604,28676,30438
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,27906,28546,29762
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,27719,28526,30370
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,28311,29026,30607
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,28111,28705,29981
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,27491,28317,30065
