version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,123.6,124.9,127.2
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,122.6,124.5,131
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,123.1,124.6,126.1
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,122.1,123.4,129.7
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,120.2,125.3,130.3
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,119.7,121.8,142.5
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,122.6,124.2,126.3
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,125,126.1,127.4
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,124.8,126.3,127.5
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,123.2,125.1,133.4
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,120.7,123.3,130.7
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,122,129.1,142.5
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,129.9,132.8,134.4
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,124.3,126.1,127.7
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,122.6,124.4,129
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,122.6,125.3,128.2
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,123.2,126.9,153.2
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,125.3,126.3,127.4
