version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,893.1,895.3,896.8
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,887.8,890.1,892.9
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,872.4,874.6,877.8
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,869.5,872.4,882.8
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,876.2,878,880.2
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,872,888.8,913.8
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,871.6,873.1,875.5
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,876.8,896.1,1067
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,880,898,978.4
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,878.5,883.5,898.5
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,868.9,882.1,896
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,866.1,867.6,869.3
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,879.7,881.6,883.7
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,878.2,883.5,931.1
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,882.3,898.4,912.9
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,877.4,886.4,901.9
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,871,885.4,930.3
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,888,892.1,900.1
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,885.8,890.7,901.7
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,880.7,889,899
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,888.3,891,911.1
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,120,869.5,884.8,918.6
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,883.2,888.3,922.8
