version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,349.1,355,388.4
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,346.4,359.9,485.6
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,347,360.2,404.1
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,342.9,348.3,358.5
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,343.4,352.7,377.2
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,347.5,353.3,388.6
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,343.8,346.1,351.2
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,346.9,369.1,494.3
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,348.7,351.7,361.8
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,344.9,347.9,361
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,343.3,355.6,372.6
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,353.4,360.7,383.5
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,351.7,367.9,379.7
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,344.7,349.3,368.8
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,361.4,366.1,383.4
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,342.7,349.5,363.5
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,344.2,357.4,390.5
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,355.8,366.2,383
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,40,348.6,364,384.8
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,345.5,357.2,519.5
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,353.2,372.1,484.5
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,342.4,354,494.8
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,347.7,353.8,389.7
3.9.0-RC1-bin-20260521-30e84c0-NIGHTLY,20,343.3,351.5,386.9
3.9.0-RC1-bin-20260522-7db439f-NIGHTLY,20,347.7,361.9,373.4
