version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,119.5,121.7,123.7
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,117.2,118.4,119.2
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,115.4,116.2,117
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,121.1,127,130.8
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,115.4,116.6,117.7
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,117.4,118.4,119.5
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,118,119,120
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,113.8,115.5,118.2
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,117.1,117.9,119.1
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,115.9,122.8,126.4
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,20,117.8,118.8,120.3
