version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,176.8,178.7,188.7
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,176.4,177.2,178
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,173.1,174.1,175.2
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,173.5,175.7,177
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,174.9,177.4,186.3
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,177.9,183,196.7
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,173.2,174.5,177.2
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,177,178.3,183.9
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,173.4,181.1,185.7
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,175.8,178,181.7
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,174.5,182.4,194.4
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,171.4,172.4,175.2
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,174.4,175.7,178.8
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,175.4,176.3,178.2
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,173.7,176.1,178.7
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,175.6,177.6,179.9
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,173.8,179.1,190.1
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,175.1,177.2,186.7
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,178.7,182.6,203.6
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,176.2,179.6,192.1
