version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,10,15.1,15.15,15.31
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,10,15.11,15.13,15.15
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,10,15.16,15.18,15.24
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,10,15.12,15.28,15.78
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,10,15.14,15.17,15.22
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,10,15.14,15.18,15.28
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,10,15.15,15.19,15.24
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,10,15.09,15.12,15.16
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,10,15.07,15.13,15.23
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,10,15.08,15.23,15.65
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,20,15.12,15.22,15.76
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,10,15.17,15.2,15.25
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,10,15.18,15.36,15.84
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,10,15.09,15.14,15.24
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,20,15.07,15.15,15.25
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,30,15.08,15.18,15.31
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,60,15.07,15.15,15.42
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,10,15.15,15.19,15.23
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,15.1,15.15,15.22
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,40,15.11,15.21,15.44
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,10,15.14,15.18,15.24
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,70,15.09,15.19,15.32
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,10,15.08,15.13,15.2
