version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,27.47,28.14,30.05
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,27.61,28.28,30.13
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,27.77,28.46,30.29
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,27.55,28.27,30.12
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,27.57,28.26,30.14
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,27.49,28.14,30.01
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,27.46,28.18,30.03
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,27.78,28.45,30.32
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,27.73,28.4,30.19
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,27.74,28.41,30.26
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,27.6,28.38,30.6
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,27.6,28.3,30.15
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,27.53,28.28,30.18
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,27.61,28.28,30.2
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,27.56,28.25,30.07
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,27.45,28.25,30.26
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,27.46,28.29,30.25
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,27.36,28.05,30.04
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,80,27.54,28.34,30.62
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,27.51,28.53,31.09
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,27.56,28.22,30.07
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,27.49,29.03,32.76
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,27.58,28.28,30.22
