version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,10,186.2,187,191.7
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,10,126.8,138.4,232.2
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,10,126.9,138,228
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,10,126.7,138,228.6
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,10,126.6,138,229.8
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,10,126.7,138,229.2
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,10,126.8,138,229.9
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,10,127.7,137.6,217.5
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,10,127.1,138.4,229.9
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,10,126.8,138.5,231.6
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,20,126.9,138.1,229
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,10,126.7,138,229.5
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,10,126.9,138.1,229.2
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,10,126.9,138.2,229.3
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,20,126.8,138.2,229.6
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,30,126.6,136.7,228.7
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,60,126.9,138.5,235.5
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,10,126.9,138,227.6
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,10,127,138.2,228.9
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,40,126.9,138.5,231.2
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,10,126.8,138.1,230.2
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,30,126.7,138.3,231.8
