suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26647 27130 26874 26663 26661 26659 26367 26372 26404 26417 26918 27063 27446 26912 27321 26696 26432 26398 26555 26931,4639,4640,4646,0,0,0,947,1087,1524
CompilationBenchmarksBigNightly,caskApp,150,1,606 608.2 601.5 606.7 605.4 605.7 605.2 605.8 605.3 606.5 604.5 605.4 602.9 604.1 603.5 604.9 625.2 609.6 608.8 613.5,164.9,165,165,0,0,0,7,117.1,337
CompilationBenchmarksBigNightly,dottyUtils,170,1,1169 1150 1149 1149 1149 1147 1152 1151 1147 1152 1146 1146 1148 1150 1148 1148 1146 1146 1159 1146,209.3,209.3,209.3,0,0,0,0,86.55,399
CompilationBenchmarksBigNightly,fansi,150,1,1388 1372 1373 1374 1365 1362 1359 1363 1360 1460 1437 1395 1377 1372 1372 1370 1369 1373 1370 1369,245.2,245.2,245.2,0,0,0,311,425,751
CompilationBenchmarksBigNightly,parallelCollections,100,1,4566 4565 4564 4565 4627 4564 4629 4563 4563 4565 4564 4627 4563 4562 4561 4561 4562 4560 4561 4560,685.6,685.6,685.6,0,0,0,0,84.9,269
CompilationBenchmarksBigNightly,re2s,120,1,1913 1914 1914 1915 1915 1913 1913 1909 1902 1896 1895 1893 1892 1890 1894 1893 1897 1888 1889 1887,333.6,333.6,333.7,0,0,0,0,208,954
CompilationBenchmarksBigNightly,scalaToday,150,1,3525 3568 3571 3448 3442 3439 3491 3454 3633 3488 3542 3450 3442 3463 3445 3445 3446 3444 3444 3443,609.8,609.9,609.9,0,0,0,16,111.7,406
CompilationBenchmarksBigNightly,scalaYaml,80,1,4666 4640 4677 4674 4778 4720 4763 4771 4771 4745 4646 4648 4647 4649 4647 4645 4646 4642 4642 4985,646.2,646.3,646.6,0,0,0,14,196,647
CompilationBenchmarksBigNightly,sourcecode,170,1,969.7 973.9 968.1 970.5 967.1 966.6 968.2 975.5 1184 1056 969 967.2 971.4 971.6 966.1 968.3 966.2 965.6 966.2 968.5,209.9,209.9,210,0,0,0,1,94.25,465
CompilationBenchmarksBigNightly,tastyQuery,60,1,5319 5317 5318 5321 5339 5314 5314 5307 5389 5321 5315 5484 5316 5345 5529 5394 5340 5323 5295 5300,758.8,758.9,758.9,0,0,0,29,184.8,538
CompilationBenchmarksBigNightly,tictactoe,150,1,1230 1230 1229 1230 1230 1226 1229 1228 1225 1228 1226 1227 1227 1227 1226 1224 1224 1223 1224 1224,327.1,327.1,327.1,0,0,0,82,248.7,1291
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,837 839.4 837.1 842.3 838.1 837.4 835.3 836.8 835.4 835.3 838.7 835.9 837.5 934 849.5 837.2 827.1 830.7 827.1 826.8,188.8,188.8,188.8,0,0,0,2,61.15,189
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1643 1645 1645 1623 1623 1626 1634 1620 1622 1622 1620 1620 1636 1620 1638 1641 1636 1637 1638 1637,290.9,291.1,291.1,0,0,0,22,155.4,515
CompilationBenchmarksBigWeekly,scalaz,60,1,28098 28073 28072 28398 28405 29259 28804 28390 28412 28400 28396 28392 28416 28356 28358 29173 28725 28326 28329 28319,4242,4242,4242,0,0,0,22,211,839
CompilationBenchmarksSmallNightly,helloWorld,150,1,167.5 166.9 167.3 166.7 166.7 167.1 167.1 166.5 167.8 167.6 166.8 166.4 167.2 167.1 166.3 166.7 166.5 167.6 166.8 166.2,65.17,65.17,65.17,0,0,0,0,25.65,93
CompilationBenchmarksSmallNightly,implicitInductive,150,1,923.8 921.9 922.5 922.6 921.8 921.6 922.5 921.7 921.5 922 949.8 946.8 920.8 921.8 920.9 921.5 947.2 919 919.2 934,106.5,106.5,106.5,0,0,0,1,63.2,181
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,637.8 689.5 673.3 638.2 637.9 638.5 636.7 639.2 651.5 642.8 637 637.6 634.7 637.1 635.8 637.2 634.9 634.3 637 635.9,145.7,145.7,145.7,0,0,0,4,54.3,148
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,412.2 423.3 411.9 411.1 406.2 406.9 406.1 407 411.4 406.6 406.5 405.4 404.2 407.7 405.1 404.4 405.3 403.7 465.1 404.5,110.7,110.7,110.7,0,0,0,0,104.9,868
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,299.6 298.3 298.6 298.1 298.4 298.4 297.8 298.2 299.3 297 300.2 313.1 309.2 305.5 312 294 300.3 292.4 312 309.8,101.6,101.6,101.6,0,0,0,1,93.9,692
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,205.5 206.2 205.5 205.6 205.6 205.9 205.5 205.4 204.6 204.5 204.8 205.5 205 205.3 203.5 204.9 204.6 203.6 204.3 204.8,77.46,77.46,77.46,0,0,0,0,36.15,135
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,208 208.1 197.3 207.5 207.3 208.1 206.4 206.8 201.2 206.7 193.9 204.8 205.5 204.4 194.3 205 201 206.2 204.5 203.6,72.26,72.27,72.28,0,0,0,1,33.75,137
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,194.6 195 194.5 194.5 193.8 194.5 194.3 193.4 194.2 193.7 194.3 193.9 193.3 194 192.1 193.5 193.1 190.9 193.5 192.7,72.34,72.35,72.35,0,0,0,0,28.4,135
CompilationBenchmarksSmallWeekly,findRef,150,1,174.2 173.3 165.1 173.6 173.6 173.3 173.1 173 163.3 172.6 161.9 162.2 162.1 161.8 161.7 161.3 162.7 162.9 161.5 161.1,61.61,61.62,61.62,0,0,0,1,32.25,124
CompilationBenchmarksSmallWeekly,i1535,150,1,248.3 248.4 248.3 246.4 249.2 247.2 245.7 248.2 252 247.5 244.1 246.3 246.3 246.1 246.2 246 246.4 241.8 246.3 246,84.87,84.87,84.88,0,0,0,4,50.1,224
CompilationBenchmarksSmallWeekly,i1687,150,1,161.6 161.7 161.3 161.9 161.3 160.9 160.8 160.9 161.7 162.6 161.2 161.2 160.7 160.7 160.5 160.8 160.9 170.4 162.7 159.9,63.22,63.22,63.23,0,0,0,1,39,194
CompilationBenchmarksSmallWeekly,implicitCache,150,1,218.3 215.9 216.6 216.4 215.7 215.5 215.6 222.7 221.3 216.1 216.1 216.1 216 216.3 229.4 215.5 215.1 216 215.5 229.6,83.59,83.59,83.59,0,0,0,0,25.55,128
CompilationBenchmarksSmallWeekly,implicitNums,150,1,428.6 429.5 429.1 428.8 429.1 429.1 451.9 431.2 427.5 431.6 430.8 432.1 431.2 431.5 431.3 430.6 431.3 430.2 431.8 431.1,133.1,133.1,133.1,0,0,0,0,29.35,156
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,224.1 224 222 223.7 222.5 222.9 223.3 222.8 221.9 223 223.8 222.6 222.1 222.3 222.6 221.8 222.1 220.4 222.8 226.3,83.92,83.93,83.93,0,0,0,0,18.55,128
CompilationBenchmarksSmallWeekly,tuple,150,1,236.7 235.6 236.3 236 235.5 235.8 235.6 236.1 237 236.1 249.6 235.3 235.4 236.1 235.1 235 235.1 236.7 234.8 235.7,86.83,86.83,86.84,0,0,0,0,28.2,148
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,192.1 204.3 202 204.4 197.2 197.7 199 204.3 200.3 206 198.8 197.2 202.6 192.1 193 204.1 203.3 196.9 201.8 195.8,71.73,71.73,71.73,0,0,0,2,29.55,96
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,220.1 218.9 219.2 219.6 218.5 217.9 217.6 218.1 218.1 218.1 218.4 218.7 217.8 218.4 216.8 217.2 217.1 216.9 216.5 220.8,77.35,77.36,77.36,0,0,0,1,31.35,115
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,161.6 161.3 160.4 162.1 160.9 162 160.4 160.7 160.5 161.3 161.4 162.1 162 161.8 161 160.9 161.4 162.1 161.7 171.3,65.24,65.24,65.25,0,0,0,2,26.25,94
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,183.6 209.3 182.6 180.8 183 182.2 182.3 182.5 182.1 182.4 182.1 181.9 181.9 185 181.6 191.4 179.5 179.4 180.9 180.1,70.58,70.59,70.59,0,0,0,0,33.95,136
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,231.6 232.1 230.5 232 230.8 231.2 228.1 229.8 227.7 229.3 229 228.6 229.1 227.6 229.2 228.3 227.4 228.6 228.2 230,82.59,82.6,82.6,0,0,0,4,40.1,123
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,167.7 167.2 166.4 166.8 166.8 166.7 166.4 166.4 167.7 167 166.8 166.2 167.2 168.3 166.7 166.6 166.5 169.7 168.9 167.8,65.54,65.54,65.55,0,0,0,0,28.5,104
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5464 5413 5469 5396 5406 5252 5225 5230 5228 5228 5224 5226 5220 5221 5226 5226 5278 5284 5273 5275,760.8,761,761.2,0,0,0,35,192.7,557
