suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27288 26529 26508 29636 28663 29421 29112 27590 27180 27623 27218 27952 26368 26047 26026 26351 26999 27343 26288 26020,4319,4320,4332,0,0,0,942,1104,1467
CompilationBenchmarksBigNightly,caskApp,150,1,558.5 560.4 559.7 558.7 558.4 558.5 559 558.4 559 559.7 557.9 557.9 553.7 554.1 553.9 558.2 553.2 555.2 556.4 556.4,114.5,114.6,114.6,0,0,0,7,133.9,320
CompilationBenchmarksBigNightly,dottyUtils,170,1,1075 1075 1074 1075 1074 1073 1074 1073 1073 1074 1072 1072 1094 1072 1072 1073 1071 1084 1090 1076,161.6,161.6,161.7,0,0,0,1,86.85,613
CompilationBenchmarksBigNightly,fansi,150,1,1265 1265 1273 1295 1297 1266 1291 1337 1262 1262 1272 1409 1340 1293 1271 1273 1304 1314 1300 1271,204.7,204.7,204.9,0,0,0,370,480.7,839
CompilationBenchmarksBigNightly,parallelCollections,100,1,4717 4748 4620 4620 4661 4844 4730 4661 4643 4624 4617 4615 4632 4614 4614 4614 4613 4614 4612 4612,602,602,602,0,0,0,2,84.9,293
CompilationBenchmarksBigNightly,re2s,120,1,1790 1794 1804 1795 1938 1866 1796 1821 1922 1927 2118 1941 1925 1923 1850 1797 1794 1814 1793 1792,261.5,261.5,261.6,0,0,0,5,199.5,972
CompilationBenchmarksBigNightly,scalaToday,150,1,3525 3446 3280 3276 3277 3347 3452 3400 3286 3285 3279 3274 3300 3279 3282 3282 3278 3284 3280 3280,510.2,510.3,510.3,0,0,0,13,149.2,391
CompilationBenchmarksBigNightly,scalaYaml,80,1,4671 4649 4393 4390 4385 4393 4383 4388 4386 4385 4385 4386 4394 4387 4389 4389 4402 4416 4812 4463,567.1,567.1,567.2,0,0,0,45,170.9,423
CompilationBenchmarksBigNightly,sourcecode,170,1,971.2 920 924.8 922.1 922.7 922.8 939.8 930.4 930.6 929.1 928.5 928.3 925.9 928.7 927.4 928.3 928.8 929.6 1027 1010,166,166,166.1,0,0,0,0,86.9,359
CompilationBenchmarksBigNightly,tastyQuery,60,1,5111 5278 5244 5085 5091 5066 5039 5042 5041 5042 5040 5040 4985 4982 4983 4985 4985 4982 4977 4983,662.7,662.7,662.9,0,0,0,45,230.4,663
CompilationBenchmarksBigNightly,tictactoe,150,1,1105 1104 1104 1120 1105 1104 1104 1103 1104 1102 1102 1103 1101 1101 1100 1098 1107 1103 1100 1099,219.8,219.9,219.9,0,0,0,21,194.4,905
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,776.3 777.8 767.8 767.8 767.1 769.5 767.8 766.4 767.1 767.3 773.5 766.7 765.9 767.1 767.2 801.7 804.2 787.2 804.4 804,143.1,143.1,143.1,0,0,0,0,51.35,172
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1579 1585 1659 1667 1571 1565 1562 1577 1571 1562 1560 1582 1641 1629 1665 1612 1765 1671 1639 1648,240.9,241,241.1,0,0,0,16,197.8,557
CompilationBenchmarksBigWeekly,scalaz,60,1,28975 28297 28507 28263 28304 28176 27877 28011 27713 29081 28550 28012 27993 27890 27961 27834 28199 28097 27939 28568,4076,4081,4086,2,2.8,3,30,182.8,828
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.1 123.7 123.6 123.4 123.8 122.8 123.2 122.7 124.2 123.4 123 123 123.4 139.8 122.1 121.8 121.9 123.4 121.4 121.4,37.33,37.33,37.33,0,0,0,3,28.35,96
CompilationBenchmarksSmallNightly,implicitInductive,150,1,875.9 875 875.5 875 873.5 874.8 873.6 874.5 880.9 878.3 881.9 878.1 877.3 875.3 876.6 877.2 876.5 877.3 876.1 876.3,69.82,69.83,69.84,0,0,0,3,48.65,164
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,566.4 568.2 567 567.9 567 567.5 567.8 567 566.5 566.4 566.4 566.1 615.3 886.1 572 567.8 567.8 563.6 568.8 568.7,108.1,108.1,108.1,0,0,0,0,67.55,194
