suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27772 26877 27467 27752 26890 26755 26190 26189 26626 27334 27463 26399 26918 27234 27343 27124 27463 27152 26212 26206,4373,4374,4380,0,0,0,924,1075,1463
CompilationBenchmarksBigNightly,caskApp,150,1,570 574.9 574.4 574.4 572.8 572.7 572.1 574 571.6 574.1 640.8 572.3 582.8 573.5 569.1 584.1 572.6 570.5 570.9 571.9,110.1,110.1,110.1,0,0,0,1,98.9,394
CompilationBenchmarksBigNightly,dottyUtils,170,1,1113 1111 1112 1112 1110 1108 1113 1113 1109 1114 1108 1107 1110 1112 1116 1112 1108 1107 1120 1106,158.5,158.5,158.5,0,0,0,0,83.5,436
CompilationBenchmarksBigNightly,fansi,150,1,1302 1319 1305 1304 1302 1302 1300 1302 1301 1303 1300 1302 1301 1301 1300 1289 1288 1287 1289 1287,214.1,214.1,214.1,0,0,0,388,485.3,817
CompilationBenchmarksBigNightly,parallelCollections,100,1,4559 4561 4557 4559 4557 4557 4561 4891 4650 4524 4519 4530 4683 4761 4517 4569 4655 4666 4610 4649,605.3,605.3,605.4,0,0,0,2,94.85,291
CompilationBenchmarksBigNightly,re2s,120,1,1807 1805 1807 1807 1810 1810 1807 1839 1806 1802 1799 1807 1805 1833 1823 1823 1819 1817 1820 1800,260.4,260.5,260.6,0,0,0,8,203.3,1007
CompilationBenchmarksBigNightly,scalaToday,150,1,3371 3373 3372 3372 3370 3369 3370 3370 3370 3372 3370 3370 3369 3369 3371 3371 3369 3368 3368 3365,495.6,495.6,496,0,0,0,30,153,383
CompilationBenchmarksBigNightly,scalaYaml,80,1,4800 4705 4547 4497 4512 4514 4502 4498 4500 4556 4551 4550 4550 4549 4567 4505 4557 4494 4492 4497,569.5,569.6,569.9,0,0,0,15,170.5,553
CompilationBenchmarksBigNightly,sourcecode,170,1,944.7 950.7 945.9 948.7 947.3 944 944.9 949.6 943.9 945 941.9 943.9 947.2 948.2 941.9 944.2 942.1 941.5 942.3 966.8,166.4,166.4,166.6,0,0,0,0,101.5,375
CompilationBenchmarksBigNightly,tastyQuery,60,1,5108 5110 5108 5110 5112 5106 5103 5181 5345 5276 5102 5105 5122 5113 5112 5105 5108 5103 5111 5103,661.4,661.5,661.6,0,0,0,14,209.1,819
CompilationBenchmarksBigNightly,tictactoe,150,1,1204 1205 1203 1202 1204 1202 1203 1203 1198 1198 1199 1201 1199 1230 1379 1213 1243 1202 1178 1497,216.4,216.5,216.5,0,0,0,66,229.7,838
CompilationBenchmarksSmallNightly,helloWorld,150,1,121.4 121.5 120.9 120.8 120.9 121 120.9 121.4 120.4 122.1 121.1 120.7 120 120.3 120.6 121 120 119.8 120.3 120.3,34.57,34.57,34.57,0,0,0,0,22.6,67
CompilationBenchmarksSmallNightly,implicitInductive,150,1,902.3 902.5 902.1 901.5 902.5 900.6 902.3 902.2 901.5 901.4 899.8 902.5 900.5 901.2 900 902.1 899.8 899.5 900.7 901.2,67.61,67.61,67.62,0,0,0,2,61.55,216
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,580.1 580.5 580 580.1 579.7 580.1 588.5 579.4 580.1 578.5 579.3 578.6 581.9 578.1 577.5 576.9 579.1 578.2 577.6 576.3,106.2,106.2,106.2,0,0,0,1,63.75,298
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,364.3 364.6 364.6 362.5 361.5 363.5 364 362 361 359.2 360.7 361.6 361.1 362 362 360.3 361.4 359.2 360.8 360.4,70.76,70.77,70.8,0,0,0,1,98.95,687
