suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,776 776.1 774.9 775.8 774.3 774 775.2 774.1 788 792.8 774.9 774.2 771.9 774.3 774.8 772.1 773.6 773.9 776.1 773.4,143,143,143,0,0,0,0,53.4,179
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1559 1564 1560 1559 1566 1587 1559 1576 1574 1608 1615 1634 1559 1556 1606 1608 1639 1624 1607 1559,240.7,240.8,240.9,0,0,0,19,159.8,513
CompilationBenchmarksBigWeekly,scalaz,60,1,28742 28505 28255 28292 28095 28463 28344 28140 29101 29161 28214 28470 28048 28250 28393 28598 28912 28567 29307 29878,4064,4068,4074,2,2.75,3,14,184.6,821
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,250.7 251.1 250.8 250.2 250.3 249.9 250.1 250.3 249.2 246.9 248.9 249.4 247.9 247.1 248.5 245.3 247.7 252.3 258.5 254,63.87,63.89,63.9,0,0,0,0,59.35,394
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,162.6 163.7 164 164.1 164.3 164 163.2 163.5 162.6 162.8 162.6 163.4 162.5 163.5 164 163.1 163.7 162.8 162.9 162.8,47.28,47.28,47.28,0,0,0,1,39.65,103
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,153 152.5 153.1 153.4 153 151.5 152.5 153 150.6 152.8 151.7 152.1 150.9 152.7 152 151.9 151.5 150.7 151.6 151.8,42.05,42.05,42.06,0,0,0,1,28.55,112
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,153.3 152.3 150.7 151.6 151.4 155.1 151.2 151.2 151.1 150.2 151 157.5 150 150.9 151.8 153.2 149.6 150.4 148.7 147.8,41.98,41.99,41.99,0,0,0,0,36.1,136
CompilationBenchmarksSmallWeekly,findRef,150,1,117 118.3 115.7 115.6 117.5 116 114.6 115.9 115.5 116.1 115.6 115.2 114.7 114 115.8 115.3 114.4 114.3 115 114.9,32.75,32.76,32.76,0,0,0,1,32.75,115
CompilationBenchmarksSmallWeekly,i1535,150,1,191.2 190 190.1 191.4 190.1 190.3 191.7 189.7 189.8 189.3 192.3 190 189.7 189.1 189.4 188.5 188.5 190.3 188.6 188.6,46.89,46.9,46.9,0,0,0,6,45.1,129
CompilationBenchmarksSmallWeekly,i1687,150,1,124.5 125.4 124.7 125.7 124.5 124.3 124 124 125.3 126 124.2 124.3 126.6 125.1 125.4 125.6 124.9 125.2 125.6 125.1,35.4,35.4,35.4,0,0,0,0,20.2,54
CompilationBenchmarksSmallWeekly,implicitCache,150,1,173 173.1 172 172.7 172.7 172.2 172.5 172.7 171 172.7 172.5 171.6 197.8 188.3 171.4 172.9 176.6 170.9 179.5 172.3,46.83,46.83,46.83,0,0,0,1,25.5,109
CompilationBenchmarksSmallWeekly,implicitNums,150,1,373.8 373.7 371.7 371.8 370.7 371 370.9 370 373.5 370.7 370.8 371.1 370.6 369.8 370.3 370.7 369.6 373 369.8 369.7,89.49,89.5,89.5,0,0,0,0,34.5,183
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,176.7 175.9 175.1 175.2 175 175 175.8 174.3 176.5 175.2 175.1 175.1 173.8 174.8 174.7 174.2 174 175.1 174.1 173.5,47.12,47.12,47.12,0,0,0,0,22.4,89
CompilationBenchmarksSmallWeekly,tuple,150,1,183.2 184.4 182.7 184.1 183.7 183.9 183.7 183.8 183.3 184.2 183.5 183.3 183 184.1 183.3 183 183.2 182.8 183.9 181.7,49.14,49.14,49.15,0,0,0,1,30.45,134
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,151.1 152 151.1 151.4 151.3 151.5 149.9 151.4 150.4 151.1 149.8 150.5 150.9 149.1 149.2 150.2 150.4 149.9 150.4 150.9,41.01,41.02,41.02,0,0,0,0,27.7,106
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,180.9 182.9 180.1 179.8 179.6 179.5 179.1 179.9 179.5 179.5 180.6 180.3 180 193.2 183.2 179.3 178.6 178.9 178.5 178.3,46.92,46.93,46.93,0,0,0,0,24.6,127
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,118.7 118.5 118.5 118.6 118.5 118.4 118 117.7 117.6 118.4 118.1 118 116.9 117.8 117.5 117.9 117.8 117 117.3 117.6,35.16,35.16,35.16,0,0,0,0,22.55,112
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,137.6 138.9 138.5 137.5 139.3 138.3 138.7 138 137.3 138.8 137.9 138.3 137.8 136.2 138 138.4 136.3 136.8 138.1 137.8,38.85,38.85,38.86,0,0,0,0,27.75,97
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,174.3 174.7 172.4 174.4 173.5 173.6 173.8 173.2 172.3 173.5 173.1 173.2 172.3 171.8 172.8 172.7 202.7 174.3 176.7 172.5,46.55,46.55,46.56,0,0,0,3,34.55,114
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,125 122.6 122.3 123.4 122.4 121.4 121.7 121.2 123.7 123.4 121.5 121.6 122.3 122.2 121 121.1 121.2 121.9 122.7 120.8,37.05,37.05,37.05,0,0,0,2,23.65,66
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5096 5099 5102 5167 5163 5155 5169 5156 5074 5075 5072 5073 5070 5071 5364 5077 5369 5158 5070 5065,658.3,658.4,658.5,0,0,0,54,206.4,593
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.53 21.46 21.58 21.58 21.38 21.39 21.42 21.6 21.53 21.61,4.439,4.439,4.439,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.21 15.28 15.27 15.21 15.23 15.24 15.21 15.27 15.23 15.21,16.82,16.82,16.82,0,0,0,0,0.8,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.34 29.35 29.28 29.26 29.29 30.07 29.5 27.61 27.54 27.51 27.53 27.52 27.52 27.56 27.53 27.55 27.54 27.57 27.52 27.53,36.4,36.44,36.52,0,0,0,0,0.55,4
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.99 22.76 22.72 22.8 22.64 22.54 22.52 22.49 22.52 22.51,15.8,15.81,15.83,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,142.9 137.5 137.5 137.8 137.7 138 138 138 138.1 137.9 139.2 137.9 137.9 137.9 138 138 138.7 138.3 208.8 146.6,490.4,490.4,490.4,0,0,0,0,0.7,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.55 14.57 14.62 14.57 14.6 14.64 14.57 14.58 14.59 14.94,16.53,16.53,16.53,0,0,0,0,0.3,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,96.67 100.3 99.44 99.74 100 99.37 100.1 99.02 108.5 109.6 96.53 96.25 96.35 96.51 97.04 97.16 97.28 97.01 96.65 96.43,23.26,23.26,23.26,0,0,0,0,1.6,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,74.09 74.15 74.15 74.68 74.23 74.28 74.2 74.22 74.2 74.18,0.7268,0.7268,0.7268,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 151.1 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.8 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,411.3 407.1 407.4 407.8 412 407.5 419.3 412.2 407.6 410.3,60.01,60.01,60.01,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,80.53 80.55 80.5 80.55 80.52 80.51 80.55 80.42 80.58 80.47,134.1,134.1,134.1,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.93 29.98 29.77 29.59 29.79 29.85 29.63 29.58 29.93 29.59,1.367,1.367,1.367,0,0,0,0,0.8,3
RuntimeBenchmarksAwfyWeekly,richards,10,1000,102.2 102.1 102.1 102.1 102.1 102.1 102.1 102.1 105.5 102.2,0.9828,0.9828,0.9828,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,tracer,10,100,110.8 110.6 151.7 310.5 78.52 78.58 78.55 78.91 81.91 84.44,172.6,172.6,172.6,0,0,0,0,1.1,4
RuntimeBenchmarksLibsWeekly,fansiFormat,20,1,20.72 20.71 20.72 21.09 20.72 20.72 20.77 20.68 20.87 20.71 20.67 20.76 20.73 20.75 20.6 20.69 20.65 20.79 20.67 20.7,37.36,37.36,37.36,0,0,0,0,0.8,5
RuntimeBenchmarksLibsWeekly,wordFreqParser,20,1,41.39 41.45 41.42 41.43 41.49 41.59 54.01 42.22 41.11 40.96 41.05 41.06 41.03 41.34 41.07 40.98 41.14 40.97 41.08 42.74,71.2,71.2,71.2,0,0,0,0,1.1,5
RuntimeBenchmarksLibsWeekly,yamlDecode,20,1,174.8 174.8 174.6 174.5 174.7 175.6 174.6 174.4 174.5 174.4 174.4 174.6 216 182.2 174.5 174.6 174.4 174.5 174.4 247.2,384.3,384.3,384.3,0,0,0,0,1.05,7
RuntimeBenchmarksLibsWeekly,yamlEncode,20,1,51.36 51.37 51.47 51.53 88.99 51.48 51.43 51.33 51.38 51.37 51.45 51.33 51.25 51.25 51.26 51.31 51.31 51.35 51.24 51.27,80.58,80.58,80.58,0,0,0,0,0.65,5
RuntimeBenchmarksOptimizerSmallWeekly,ary,40,10,8.521 8.525 8.535 8.548 8.55 8.534 8.546 8.582 8.538 8.529,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallWeekly,ary2,20,10,195.8 127.6 127.6 127.8 127.7 127.7 127.5 131.3 132.9 127.1,350.4,350.4,350.4,0,0,0,0,1.2,5
RuntimeBenchmarksOptimizerSmallWeekly,matMul,20,10,22.25 22.31 22.3 22.41 22.24 22.36 22.25 22.23 22.31 22.23,6.574,6.574,6.574,0,0,0,0,1.1,4
RuntimeBenchmarksOptimizerSmallWeekly,meteor,20,1,423.2 423.1 423.1 424.2 423.3 423.2 423.3 423.4 423.2 443.7,222.9,222.9,222.9,0,0,0,0,1.3,7
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop,20,10,25.53 25.84 25.52 25.56 25.52 25.79 25.97 27.24 25.91 25.95,5.613,5.613,5.613,0,0,0,0,1.5,5
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop2,20,10,75.05 74.95 74.99 91.62 87.69 75.13 74.89 74.92 74.9 74.91,96.1,96.1,96.1,0,0,0,0,1.3,5
