suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27777 27203 28068 27786 26828 27690 27762 27110 27533 27776 26678 26498 26484 26539 27370 27745 27521 27485 27842 27222,4383,4384,4390,0,0,0,948,1091,1366
CompilationBenchmarksBigNightly,caskApp,150,1,556.1 554.8 555.4 548.8 553.2 554 555.6 554.9 554.4 555.1 556 553.8 557.9 555.8 565.4 553 563.8 561.7 560.5 558.1,125,125.1,125.1,0,0,0,8,134.3,367
CompilationBenchmarksBigNightly,dottyUtils,170,1,1110 1111 1109 1110 1110 1096 1096 1097 1095 1096 1094 1109 1107 1108 1108 1108 1107 1108 1107 1110,167.4,167.4,167.5,0,0,0,0,77.8,520
CompilationBenchmarksBigNightly,fansi,150,1,1291 1289 1289 1344 1401 1291 1298 1290 1295 1288 1286 1286 1306 1288 1286 1286 1286 1294 1287 1292,212.3,212.3,212.3,0,0,0,319,443.8,766
CompilationBenchmarksBigNightly,parallelCollections,100,1,4494 4494 4495 4495 4495 4494 4557 4622 4613 4870 4766 4627 4564 4564 4554 4551 4559 4555 4554 4558,610.8,610.9,610.9,0,0,0,2,104.4,305
CompilationBenchmarksBigNightly,re2s,120,1,1815 1816 1815 1816 1815 1822 1816 1832 1825 1819 1811 1812 1812 1810 1808 1811 1806 1804 1805 1804,267.4,267.4,267.6,0,0,0,5,164.6,798
CompilationBenchmarksBigNightly,scalaToday,150,1,3323 3325 3325 3325 3339 3326 3324 3326 3326 3327 3325 3327 3324 3324 3531 3324 3510 3330 3337 3328,526.9,526.9,526.9,0,0,0,12,139.2,351
CompilationBenchmarksBigNightly,scalaYaml,80,1,4464 4466 4463 4474 4462 4469 4461 4460 4482 4458 4612 4530 4473 4641 4457 4498 4458 4456 4453 4454,579.3,579.4,579.5,0,0,0,11,161.6,547
CompilationBenchmarksBigNightly,sourcecode,170,1,931.2 935.8 932.4 933.6 931.4 930.6 930.4 934.4 930.4 931.1 928.8 930.3 932.1 928.4 937 933.5 926.4 925.9 925.2 929.9,173.6,173.6,173.6,0,0,0,0,93.75,364
CompilationBenchmarksBigNightly,tastyQuery,60,1,5056 5057 5057 5076 4991 5159 5012 4981 5195 4982 5000 4985 4986 4988 4980 4978 4980 4981 4976 4973,669.7,669.8,669.9,0,0,0,16,208.8,590
CompilationBenchmarksBigNightly,tictactoe,150,1,1424 1211 1164 1166 1160 1163 1159 1160 1170 1164 1298 1232 1158 1168 1171 1190 1161 1194 1197 1201,238.6,238.6,238.6,0,0,0,66,287.5,1140
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,787.3 788.8 869.8 800 787 786.6 787.1 813.2 788.4 786.6 786.1 785.6 785.9 785.9 785.5 785.2 785.5 785.1 785.4 785.3,149,149,149,0,0,0,2,60.15,197
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1597 1596 1598 1595 1593 1592 1594 1590 1594 1593 1593 1589 1590 1590 1579 1590 1585 1589 1589 1611,248.4,248.5,248.6,0,0,0,7,209.1,1357
CompilationBenchmarksBigWeekly,scalaz,60,1,28599 27892 28106 28346 28267 28251 28414 28515 28224 29669 28453 28281 28368 28188 28281 28228 28379 28270 28081 29881,4049,4052,4057,2,2.65,3,31,190.1,807
