suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26586 25972 25964 26076 27722 27438 26553 25973 26790 27297 26660 25996 26008 26424 27415 27973 26405 27023 27178 26929,4366,4367,4367,0,0,0,919,1084,1424
CompilationBenchmarksBigNightly,caskApp,150,1,565.4 568.5 567.5 568.9 567.3 568.3 567.7 567.2 570.6 569.1 567.7 566.7 569.6 568.4 570.3 571.1 566.4 567.4 566 565.6,123,123,123,0,0,0,8,124.5,358
CompilationBenchmarksBigNightly,dottyUtils,170,1,1108 1105 1105 1107 1106 1105 1109 1108 1104 1110 1104 1104 1106 1108 1106 1105 1104 1103 1127 1118,166.6,166.6,166.6,0,0,0,2,76.9,578
CompilationBenchmarksBigNightly,fansi,150,1,1283 1282 1282 1288 1281 1281 1281 1282 1279 1281 1282 1281 1283 1280 1280 1281 1278 1284 1279 1280,201.5,201.5,201.9,0,0,0,375,467.1,832
CompilationBenchmarksBigNightly,parallelCollections,100,1,4538 4537 4552 4536 4543 4541 4541 4542 4538 4544 4537 4543 4554 4616 4659 4659 4666 4655 4660 4586,611.6,611.6,611.7,0,0,0,1,92.5,277
CompilationBenchmarksBigNightly,re2s,120,1,1795 1790 1789 1789 1791 1790 1806 1807 1798 1790 1790 1789 1789 1801 1788 1786 1786 1785 1784 1783,265.3,265.3,265.4,0,0,0,2,168.8,619
CompilationBenchmarksBigNightly,scalaToday,150,1,3399 3400 3400 3400 3399 3397 3399 3398 3399 3398 3398 3397 3397 3397 3397 3396 3398 3399 3396 3396,536.3,536.4,536.4,0,0,0,23,100.7,414
CompilationBenchmarksBigNightly,scalaYaml,80,1,4443 4450 4438 4441 4442 4448 4441 4439 4436 4436 4435 4483 4482 4480 4493 4490 4488 4481 4483 4484,579.8,579.9,580.2,0,0,0,16,213.4,525
CompilationBenchmarksBigNightly,sourcecode,170,1,929.2 934.1 928.2 929.8 926.8 926.2 927.2 932.3 936.8 938.6 934.9 936.3 941.6 935.7 1020 992.9 933.9 924.1 923.3 935.8,172.8,172.8,172.8,0,0,0,0,88.85,407
CompilationBenchmarksBigNightly,tastyQuery,60,1,5000 5053 5052 5011 5056 5131 5047 5144 5143 5046 5257 5044 5052 5046 5041 5044 5040 5046 5038 5037,665.4,665.5,665.6,0,0,0,26,197.1,517
CompilationBenchmarksBigNightly,tictactoe,150,1,1163 1148 1143 1149 1143 1145 1143 1144 1150 1143 1159 1141 1142 1141 1141 1148 1145 1145 1150 1139,237,237,237,0,0,0,81,231.1,769
CompilationBenchmarksSmallNightly,helloWorld,150,1,126.9 126.3 126.5 126.3 125.7 125.9 126.3 125.9 126.9 125.6 126.3 125.5 126.3 126.6 125.9 125.9 125.7 126.9 125.4 125.2,38.78,38.78,38.78,0,0,0,0,22.15,68
CompilationBenchmarksSmallNightly,implicitInductive,150,1,879.2 877.8 878.2 877.5 877 876.8 876.7 877.4 875.6 877.7 876.6 876.9 876.1 876.6 876 876.4 876 875.5 877.1 876.1,73.62,73.63,73.64,0,0,0,7,51.9,168
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,600.3 600 600.4 599.7 599.2 598.9 599.8 598.8 598.6 600.1 598.6 598.9 600.2 598 597.4 598 598.8 599.7 597.7 596.4,111.8,111.8,111.8,0,0,0,2,46.15,160
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,357.6 357.6 359.1 356.8 352.3 354.8 353.5 353.8 352.2 354.3 352.5 353.4 350.9 353.5 351 350.6 352.9 350.4 352.5 351.6,77.36,77.37,77.41,0,0,0,1,116.9,928
