suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26317 26641 27012 27033 26744 26727 26839 26626 26382 26318 26465 26695 26838 26778 26714 26911 26762 26489 26365 26330,4612,4613,4613,0,0,0,850,985,1290
CompilationBenchmarksBigNightly,caskApp,150,1,609.8 611.3 609.5 609.3 609.6 609.3 609.5 608.8 689.7 639.8 644.1 614.9 611.5 620 613.6 611.6 612.8 611.3 611.9 611.2,165.9,165.9,165.9,0,0,0,1,91.4,364
CompilationBenchmarksBigNightly,dottyUtils,170,1,1153 1166 1165 1167 1166 1152 1156 1155 1153 1159 1151 1151 1152 1208 1221 1157 1151 1151 1188 1153,209.1,209.1,209.1,0,0,0,0,80.6,400
CompilationBenchmarksBigNightly,fansi,150,1,1391 1384 1351 1349 1372 1403 1377 1404 1457 1480 1361 1366 1416 1378 1395 1406 1401 1365 1357 1353,243.8,243.9,243.9,0,0,0,321,420.4,775
CompilationBenchmarksBigNightly,parallelCollections,100,1,4672 4671 4667 4670 4670 4668 4671 4669 4667 4669 4668 4669 4666 4665 4667 4666 4668 4665 4666 4664,687.6,687.6,687.6,0,0,0,0,84.35,262
CompilationBenchmarksBigNightly,re2s,120,1,1911 1908 1915 1911 1916 1910 1908 1924 1900 1909 1903 1910 1885 1886 1915 1885 1884 1899 1879 1878,334.1,334.1,334.3,0,0,0,1,194.2,792
CompilationBenchmarksBigNightly,scalaToday,150,1,3508 3500 3498 3499 3497 3501 3498 3498 3500 3497 3496 3496 3499 3465 3463 3465 3464 3467 3462 3465,608.6,608.6,608.7,0,0,0,16,139,365
CompilationBenchmarksBigNightly,scalaYaml,80,1,4627 4627 4625 4658 4718 4704 4728 4700 4700 4732 4669 4616 4615 4615 4615 4617 4618 4613 4614 4618,648.9,649,649.2,0,0,0,18,195.3,698
CompilationBenchmarksBigNightly,sourcecode,170,1,970.7 974.1 969.4 971.1 969 968.4 968.8 972.4 967.8 967.7 966.2 967.3 970.5 971.3 965.9 966.7 965.9 967 1089 968,209.8,209.8,209.9,0,0,0,2,101.8,416
CompilationBenchmarksBigNightly,tastyQuery,60,1,5131 5128 5131 5139 5136 5224 5354 5332 5342 5264 5223 5268 5130 5122 5201 5381 5199 5399 5205 5298,761.4,761.4,761.5,0,0,0,16,193.5,697
CompilationBenchmarksBigNightly,tictactoe,150,1,1249 1250 1248 1249 1250 1252 1249 1262 1377 1317 1279 1249 1248 1246 1247 1253 1248 1248 1262 1317,327,327,327,0,0,0,66,254.6,1054
CompilationBenchmarksSmallNightly,helloWorld,150,1,169.8 171.2 170.2 170.1 170 170.1 169.8 170.4 170.1 170.5 170.4 181.3 172.9 178 174.6 177 178.4 173.7 181.2 180.8,66.18,66.18,66.2,0,0,0,0,22.4,91
CompilationBenchmarksSmallNightly,implicitInductive,150,1,925.4 924.6 924.4 924.1 923 924 922.7 920.4 923.3 921 922 920 920.4 920.2 920.1 920.4 919.4 920.4 919.5 920.4,108,108,108,0,0,0,0,60.95,169
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,639.4 639.7 640.4 639.8 639.7 639.7 638.7 640.7 639.6 639.5 639.3 639.7 637.4 639 639.2 639.7 638.1 638.3 638.6 638.9,145.6,145.6,145.6,0,0,0,0,50.35,145
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,418.5 420.2 429.7 418.7 413.8 411.1 410.1 410.2 408.8 410.2 520.1 550 404.1 435.1 398 393.1 392.9 391.1 397.5 388.1,109,109,109.1,0,0,0,1,107.9,740
