suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27245 26898 27054 27264 26976 27300 27312 27353 27356 27507 26974 26794 26766 27191 26744 26472 26462 26464 26607 26987,4587,4588,4595,0,0,0,928,1064,1342
CompilationBenchmarksBigNightly,caskApp,150,1,616.6 617.4 611.6 614 610.9 612.4 613.2 612 614.1 613 614.1 611.2 614.8 612.3 615.3 613.2 609.4 611.5 610.5 607.9,164.6,164.6,164.6,0,0,0,0,104.6,375
CompilationBenchmarksBigNightly,dottyUtils,170,1,1160 1159 1158 1158 1157 1160 1161 1157 1155 1163 1156 1154 1156 1157 1154 1158 1154 1153 1168 1158,209,209,209,0,0,0,2,83.75,366
CompilationBenchmarksBigNightly,fansi,150,1,1352 1352 1353 1358 1351 1350 1355 1361 1388 1379 1401 1392 1408 1356 1411 1409 1423 1436 1356 1356,243.7,243.8,243.8,0,0,0,305,418.5,851
CompilationBenchmarksBigNightly,parallelCollections,100,1,4767 4840 4836 4856 4770 4693 4694 4694 4693 4698 4690 4695 4689 4692 4691 4690 4694 4692 4688 4692,688.7,688.7,688.7,0,0,0,2,88.6,267
CompilationBenchmarksBigNightly,re2s,120,1,1915 1918 1920 1921 1920 1918 1958 1940 1969 2043 1922 1919 1916 1950 1909 1914 1915 1908 1912 1910,334.1,334.1,334.3,0,0,0,2,232.2,940
CompilationBenchmarksBigNightly,scalaToday,150,1,3659 3641 3663 3640 3525 3523 3516 3527 3557 3671 3558 3662 3523 3514 3553 3529 3512 3515 3511 3514,618.8,618.8,618.8,0,0,0,25,159.1,456
CompilationBenchmarksBigNightly,scalaYaml,80,1,4588 4651 4651 4650 4676 4765 4734 4745 4777 4766 4798 4653 4643 4643 4641 4644 4646 4642 4724 4641,642.8,642.9,643.1,0,0,0,17,179.4,632
CompilationBenchmarksBigNightly,sourcecode,170,1,977.9 984.1 977.8 978.2 978.1 965.2 965.7 971.1 964.4 964.7 964 963.8 967 964.9 963.5 963.8 963.8 962.7 962.2 966.2,210.5,210.5,210.5,0,0,0,0,81.65,405
CompilationBenchmarksBigNightly,tastyQuery,60,1,5114 5116 5119 5181 5116 5106 5158 5206 5296 5309 5228 5304 5210 5245 5252 5285 5115 5103 5096 5097,755.5,755.6,755.6,0,0,0,12,218.9,760
CompilationBenchmarksBigNightly,tictactoe,150,1,1234 1235 1235 1235 1235 1234 1234 1234 1233 1233 1232 1233 1233 1233 1233 1231 1233 1229 1231 1241,326.8,326.8,326.9,0,0,0,88,218,783
CompilationBenchmarksSmallNightly,helloWorld,150,1,175.2 177.5 176.3 176.1 177 176.4 175.6 176.2 175.7 176.2 176.7 176.6 173.2 174.8 175.9 175.1 175.8 174.5 175.5 174.3,66.36,66.36,66.36,0,0,0,0,25.85,89
CompilationBenchmarksSmallNightly,implicitInductive,150,1,918.7 918.7 918.5 918.3 918 917.7 917.6 917.6 917.1 918.1 916.7 917.5 917.1 917.4 917 917.4 917.1 916.9 917.4 916.6,108,108,108,0,0,0,0,56.4,191
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,647.2 646.5 648.4 647.1 645.7 645.9 647.7 647 646 645 646.1 644.3 645.6 646.5 646.3 646.4 646 646.6 645.6 645.1,147.6,147.6,147.6,0,0,0,0,62.9,229
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,405.7 417.7 403.9 405.4 401.4 400.5 400.9 400.7 403 400.4 400.5 400.3 400.9 399.2 399.7 401.7 399.3 401.4 398.8 398.6,109.3,109.3,109.3,0,0,0,0,87,591
