suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27233 27427 27676 27758 27842 27682 27182 27039 27254 27420 27427 27837 27725 27719 27786 27475 27382 27676 27802 27735,4848,4849,4849,0,0,0,879,1019,1432
CompilationBenchmarksBigNightly,caskApp,150,1,607.7 609.4 608.2 607.5 606.8 608.1 607.4 612.6 610.7 612.7 610.8 611.9 610.4 610.4 608.4 608.2 612.3 609 609.2 609.7,165.6,165.6,165.6,0,0,0,6,93.1,361
CompilationBenchmarksBigNightly,dottyUtils,170,1,1157 1156 1154 1155 1153 1154 1157 1157 1153 1158 1158 1151 1153 1155 1153 1152 1150 1150 1166 1152,208.5,208.5,208.6,0,0,0,4,94.35,487
CompilationBenchmarksBigNightly,fansi,150,1,1395 1370 1370 1370 1367 1369 1368 1371 1370 1368 1368 1354 1408 1400 1398 1398 1401 1406 1402 1389,258.7,258.7,258.8,0,0,0,381,506.9,839
CompilationBenchmarksBigNightly,parallelCollections,100,1,4623 4622 4620 4621 4621 4621 4620 4621 4619 4622 4619 4620 4620 4619 4618 4618 4617 4618 4617 4618,688.1,688.1,688.1,0,0,0,0,79.95,283
CompilationBenchmarksBigNightly,re2s,120,1,1901 1905 1904 1911 1908 1906 1902 1891 1910 1907 1897 1902 1897 1897 1893 1897 1894 1892 1893 1892,332.2,332.2,332.4,0,0,0,1,165.7,570
CompilationBenchmarksBigNightly,scalaToday,150,1,3510 3567 3759 3609 3511 3517 3513 3511 3547 3514 3512 3512 3510 3516 3513 3512 3510 3509 3511 3508,609.8,609.9,609.9,0,0,0,19,169.4,418
CompilationBenchmarksBigNightly,scalaYaml,80,1,4755 4797 4620 4654 4604 4611 4617 4605 4603 4604 4601 4603 4603 4601 4600 4681 4603 4783 4622 4614,642.3,642.4,642.7,0,0,0,18,184.9,666
CompilationBenchmarksBigNightly,sourcecode,170,1,984.8 982.2 989 987.4 987.5 994.8 987 986.5 986.1 986.5 994.4 994.6 989.8 998.1 993.6 993.1 994.1 993.5 993.4 992.5,209.7,209.7,209.9,0,0,0,0,71.95,332
CompilationBenchmarksBigNightly,tastyQuery,60,1,5211 5210 5214 5286 5282 5271 5428 5275 5346 5373 5352 5337 5272 5268 5296 5273 5267 5267 5263 5260,759.5,759.5,759.6,0,0,0,42,223.9,675
CompilationBenchmarksBigNightly,tictactoe,150,1,1255 1256 1278 1244 1253 1253 1253 1253 1251 1252 1252 1253 1251 1251 1250 1249 1251 1248 1251 1250,327.7,327.7,327.7,0,0,0,84,221.6,986
CompilationBenchmarksSmallNightly,helloWorld,150,1,170.9 170.5 170.4 170 170.2 170.4 170.5 169.8 170.9 170 170.2 169.8 170.4 170.2 170 169.9 169.9 170.7 170.7 169.8,66.23,66.23,66.24,0,0,0,0,24.5,91
CompilationBenchmarksSmallNightly,implicitInductive,150,1,940.2 940.1 940.5 939.8 940 939.4 939.3 939.8 938.9 939.9 938.3 939.2 939 939.6 938.5 938.7 938 938.2 938.7 938.5,106.6,106.6,106.6,0,0,0,0,55.05,170
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,646.3 645.8 649.9 647.2 646.5 647.3 645.5 646.4 647 647.3 646 645.3 645 647.3 646.9 646.7 645.7 645.3 646.6 645.2,147.1,147.1,147.1,0,0,0,1,57.35,237
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,392.5 399.5 392.1 393.2 389.8 388.2 388.2 387.9 389.6 389.1 388.2 387.8 387.5 387.7 393.2 389.1 388.1 388.4 388 387.3,110.4,110.4,110.4,0,0,0,0,98.2,585
