suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27415 27034 27059 26694 26565 26543 26536 26542 26596 26548 26888 26933 26572 26590 26569 26606 26580 26761 27117 27007,4607,4608,4608,0,0,0,938,1109,1419
CompilationBenchmarksBigNightly,caskApp,150,1,618.4 622.7 620.9 620.3 619.8 619.5 619.7 620.2 622.4 622.8 620.9 621.4 616.5 618.3 616.5 617.4 620.1 618.7 618.2 618.6,165.8,165.8,165.8,0,0,0,8,103.2,350
CompilationBenchmarksBigNightly,dottyUtils,170,1,1164 1152 1165 1170 1166 1164 1168 1166 1164 1169 1163 1163 1169 1195 1174 1165 1195 1188 1170 1161,208.7,208.7,208.7,0,0,0,3,81.75,392
CompilationBenchmarksBigNightly,fansi,150,1,1421 1419 1634 1817 1382 1389 1378 1379 1388 1381 1381 1373 1381 1379 1555 1403 1383 1390 1374 1381,243.8,243.8,244,0,0,0,511,629.2,925
CompilationBenchmarksBigNightly,parallelCollections,100,1,4572 4573 4583 4571 4570 4571 4572 4572 4570 4571 4617 4616 4616 4615 4616 4615 4614 4614 4613 4613,683.3,683.3,683.3,0,0,0,1,88.5,288
CompilationBenchmarksBigNightly,re2s,120,1,1903 1905 1904 1903 1903 1900 1900 1910 1905 1902 1902 1901 1900 1898 1896 1900 1896 1894 1896 1895,334.4,334.4,334.5,0,0,0,3,182.5,984
CompilationBenchmarksBigNightly,scalaToday,150,1,3497 3497 3497 3495 3496 3496 3495 3495 3495 3496 3494 3495 3496 3494 3495 3494 3494 3493 3494 3494,608.2,608.3,608.7,0,0,0,24,143.3,346
CompilationBenchmarksBigNightly,scalaYaml,80,1,4797 4662 4654 4653 4658 4662 4648 4651 4652 4651 4867 4951 4651 4648 4829 5032 4587 4573 4646 4651,642,642.1,642.3,0,0,0,12,195.7,641
CompilationBenchmarksBigNightly,sourcecode,170,1,964.1 966.1 963.2 964.5 961 961.4 961.7 966.2 960.5 960 958.6 958.5 957.2 958.1 958.8 965.9 958.3 958.9 958.4 958.1,210.2,210.2,210.2,0,0,0,0,90.1,581
CompilationBenchmarksBigNightly,tastyQuery,60,1,5205 5256 5313 5290 5246 5303 5279 5288 5131 5131 5125 5126 5124 5124 5126 5128 5125 5122 5115 5119,759.1,759.2,759.4,0,0,0,29,231.3,731
CompilationBenchmarksBigNightly,tictactoe,150,1,1247 1247 1246 1246 1246 1245 1247 1245 1260 1244 1245 1244 1243 1243 1243 1242 1243 1240 1243 1240,326.9,326.9,326.9,0,0,0,66,197.9,757
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,834.7 835.4 835.3 837.8 833.4 833 832.7 833.9 832.4 832.2 833.1 832.2 832 831 830.7 832.5 830.2 833.6 830.7 830.7,190,190,190,0,0,0,6,82.7,281
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1609 1636 1633 1632 1639 1636 1638 1655 1636 1631 1630 1632 1633 1627 1635 1626 1641 1626 1628 1627,291.7,291.9,291.9,0,0,0,12,181.1,731
CompilationBenchmarksBigWeekly,scalaz,60,1,28045 27872 27880 28288 29625 29110 28142 27922 27916 28027 29190 29305 28481 29578 29596 28241 29135 29120 28545 28912,4282,4282,4282,0,0,0,23,212,794
CompilationBenchmarksSmallNightly,helloWorld,150,1,175.6 176.8 170.4 174.4 176.5 167.8 174.6 176.4 172.4 171.4 170.4 176.4 169 173.1 175.8 190.8 169.2 179 166.9 165.5,66.23,66.23,66.23,0,0,0,0,23.5,98
CompilationBenchmarksSmallNightly,implicitInductive,150,1,942.4 932.8 939.9 939 940.3 921.8 916.6 919 932.3 938.1 926 937 937.7 930.5 917.5 917.8 915.5 917.3 916.9 916,107.9,107.9,107.9,0,0,0,1,62.4,194
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,637.8 637.5 645.5 638.3 638.1 641.3 640 641.5 641.8 641.8 640.7 641.2 639.2 642 641.8 641.5 640.9 639.7 641.4 641.8,146.8,146.8,146.8,0,0,0,0,61,174
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,395 407.4 459.4 456.1 438.1 425.3 418.6 420.1 420.8 424 421.8 422.2 419.9 468.7 414.1 430.3 412.3 404.8 409 408.6,110.7,110.7,110.7,0,0,0,2,85.5,594
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,297.6 296.8 297.4 296.7 297.2 296.6 296.3 296.9 347.6 297.3 295.9 296.1 300.5 296.5 298.5 299.5 297.4 296.6 299.7 297.2,100.2,100.2,100.2,0,0,0,1,84.3,801
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,207.9 213.4 207.6 207.2 207.2 206.6 206.6 207 207.4 208.1 207.9 206.8 207 206.2 217.8 211.6 205.4 207.2 206.4 205.4,77.25,77.25,77.25,0,0,0,1,32.35,132
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,196.2 195.8 195.3 195 195 195.8 195 195 196 195 195.7 194.1 198.1 195.1 195.3 194.7 194.7 196.8 194.8 194.2,72.32,72.33,72.34,0,0,0,1,28.85,134
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,198.1 197.6 196.6 197 196.5 195.8 196.6 196.1 196.3 196.4 197.1 196.4 197.7 197 198.8 196.1 195.8 197.7 196 195.2,72.2,72.2,72.2,0,0,0,0,32.5,151
CompilationBenchmarksSmallWeekly,findRef,150,1,178.9 177.7 177.8 178.6 175.5 178.9 176.5 159.9 158.9 159.8 159.5 158.8 158.7 157.4 159.8 159.4 183.6 179.7 158.7 180.6,60.56,60.56,60.57,0,0,0,0,38.25,118
CompilationBenchmarksSmallWeekly,i1535,150,1,244.6 244.6 244.4 242.9 244.3 243.2 242.1 243.9 243.5 241.7 241.7 243.5 241 243.1 242.7 242.5 242.9 238.5 242.5 242.1,84.86,84.87,84.87,0,0,0,6,55.15,198
CompilationBenchmarksSmallWeekly,i1687,150,1,162.2 174.5 162.1 161.7 162.3 162.2 161.6 162.2 161 168.8 162.1 162.1 160.9 161 161.7 160.7 161.1 163.1 158.7 161.8,63.3,63.3,63.3,0,0,0,0,27.7,122
CompilationBenchmarksSmallWeekly,implicitCache,150,1,220.7 221.7 221 221 221.1 221.1 220.9 221 220.1 221.2 221.1 221.1 220.7 240.1 220.6 220.8 221.6 232 221.4 220.2,84.77,84.77,84.77,0,0,0,0,25.55,132
CompilationBenchmarksSmallWeekly,implicitNums,150,1,427.3 426.6 426.2 427.7 426.4 426.9 426.6 426.8 425 426.8 425.3 427.1 426.9 426.1 426.1 425.4 425.9 425.1 426.4 426.2,131.8,131.8,131.8,0,0,0,0,23.4,154
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,240.6 228.6 241.1 234.7 225.9 228.4 226 225.6 226.2 226.1 226.1 225.9 224.8 225 225.3 225.1 224.7 225.7 225 224.1,83.97,83.98,83.98,0,0,0,0,25.35,126
CompilationBenchmarksSmallWeekly,tuple,150,1,236.1 235.5 235.9 235.4 235.3 235.7 235.3 235.9 236.3 235.9 235.3 234.9 235.7 236.4 235.3 234.8 235 236.4 235.8 234.5,85.89,85.89,85.9,0,0,0,1,26.45,131
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,193.7 194.2 193.6 193.7 193.8 193.7 192.3 194 193.1 193.8 192.6 193.4 193.2 192.6 193.3 192.7 192.8 191.8 193.3 192.7,72.59,72.59,72.59,0,0,0,1,29.3,95
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,221.8 220 219.8 219.7 221.2 220.8 220.7 220.5 220.8 220.6 220.7 220 219.7 219 219.8 220.1 219.6 218.9 220 219.8,76.61,76.61,76.62,0,0,0,1,31.75,115
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,164.8 165.4 164.4 164.7 164.5 164.4 163.8 164.2 164.2 164 163.3 163.1 162.3 163.5 163.5 163.4 163.4 162 162.7 163.3,66.3,66.3,66.3,0,0,0,1,20.3,85
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,186.2 186 184.9 183.7 185.7 184.5 185.9 185.5 185.2 185.1 184.8 185 184.9 183.5 185 185.1 183.5 182.9 185 185,70.42,70.42,70.43,0,0,0,0,29.5,112
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,225.1 225.3 225 224.6 224 224.1 224.1 223.8 224.8 224.1 223.7 223.9 223.9 224.1 223.4 224.2 224.1 224.4 224.6 222.9,82.65,82.65,82.66,0,0,0,3,49.05,134
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,166 167.6 166.7 166.5 165.9 166.4 166.3 166.4 166.1 166.7 166.7 166.4 164 165.1 166.2 166 165.6 162.8 166.7 165.9,65.5,65.5,65.5,0,0,0,0,27.4,94
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5197 5187 5201 5187 5186 5194 5180 5176 5177 5175 5343 5231 5376 5256 5180 5189 5185 5176 5172 5170,764.7,764.8,764.9,0,0,0,21,183.2,540
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.69 21.61 21.61 21.39 21.63 21.81 21.88 21.76 21.69 21.66,4.439,4.439,4.439,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.11 15.17 15.16 15.1 15.14 15.13 15.13 15.2 15.09 15.14,16.82,16.82,16.82,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,cd,20,1,32.45 32.59 32.49 33.32 30.77 30.65 30.94 29.11 29 28.99 29.01 29 29.11 29.05 29.05 29 29.03 29.04 29.03 29,36.4,36.44,36.52,0,0,0,0,0.95,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.43 23.18 23.18 23.27 23 22.86 22.87 22.86 22.86 22.88,15.8,15.81,15.83,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,215.6 138.8 138.8 138.9 139.2 138.8 139.4 144.4 142.8 139.7 139.7 139.8 139.6 139.8 139.6 140 139.8 139.7 139.8 140,490.4,490.4,490.4,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.62 14.67 14.65 14.64 14.63 14.63 14.65 14.69 14.64 14.68,16.53,16.53,16.53,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,97 97.54 97.01 96.65 96.79 96.37 96.93 96.67 96.73 102.7 100.5 96.68 96.54 96.63 96.67 96.28 97.25 96.69 96.33 96.2,23.26,23.26,23.26,0,0,0,0,1.25,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,70.45 69.93 69.71 70.39 69.96 69.72 69.73 69.74 69.77 69.8,0.7268,0.7268,0.7268,0,0,0,0,0.4,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.7 150.6 150.6 150.6 150.6 150.6 151.1 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.8 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,413.4 409.6 409.9 409.5 414.3 410 410.4 409.9 410.1 410,60.01,60.01,60.01,0,0,0,0,0.4,2
