suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27745 27472 27733 27100 26429 27096 26974 27921 27796 27609 27671 26547 27089 26746 27252 27582 26520 27211 27880 27997,4391,4392,4398,0,0,0,872,1031,1474
CompilationBenchmarksBigNightly,caskApp,150,1,558.7 559.9 558.9 559.3 558.5 558.7 564.9 618.8 557.7 559.2 558.2 563 557 556.9 557.7 558.4 555.6 556.9 556.4 556.9,109.3,109.3,109.3,0,0,0,7,119,425
CompilationBenchmarksBigNightly,dottyUtils,170,1,1198 1159 1135 1104 1102 1102 1101 1102 1101 1100 1100 1100 1099 1087 1100 1101 1099 1100 1098 1101,158.1,158.1,158.1,0,0,0,0,77.3,389
CompilationBenchmarksBigNightly,fansi,150,1,1325 1328 1310 1307 1308 1306 1307 1306 1304 1307 1306 1306 1307 1306 1304 1305 1307 1322 1307 1304,211.7,211.7,211.7,0,0,0,355,468.6,830
CompilationBenchmarksBigNightly,parallelCollections,100,1,4484 4485 4483 4484 4483 4497 4497 4496 4494 4495 4494 4493 4500 4492 4492 4509 4495 4506 4496 4490,599.8,599.8,599.8,0,0,0,1,88.7,309
CompilationBenchmarksBigNightly,re2s,120,1,1759 1760 1760 1762 1758 1760 1758 1775 1764 1757 1757 1759 1755 1756 1752 1754 1756 1750 1757 1789,259.3,259.3,259.5,0,0,0,5,153.2,660
CompilationBenchmarksBigNightly,scalaToday,150,1,3334 3385 3452 3332 3332 3373 3334 3332 3347 3333 3331 3331 3331 3330 3330 3329 3330 3328 3329 3328,493.4,493.4,493.4,0,0,0,33,136.8,344
CompilationBenchmarksBigNightly,scalaYaml,80,1,4587 4515 4593 4587 4558 4579 4509 4475 4473 4475 4473 4473 4472 4472 4471 4472 4473 4471 4471 4472,566,566.2,566.4,0,0,0,10,152.4,505
CompilationBenchmarksBigNightly,sourcecode,170,1,924 924.2 927 925.6 926.2 925.5 926 925.4 924.4 924.6 924 923.4 921.8 924.2 923.4 923.7 924.1 923.6 923.5 923,165.2,165.2,165.2,0,0,0,0,90.95,433
CompilationBenchmarksBigNightly,tastyQuery,60,1,5035 5032 4967 4970 4968 4957 4959 4961 4962 4969 4955 4970 4964 4962 4959 4961 4956 4947 4946 4954,653.9,653.9,654,0,0,0,15,205.3,486
CompilationBenchmarksBigNightly,tictactoe,150,1,1124 1277 1145 1127 1121 1123 1123 1120 1137 1123 1128 1119 1119 1119 1121 1123 1120 1122 1130 1193,216.2,216.2,216.3,0,0,0,71,260.2,1276
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,784.4 785.5 784.3 784.6 783.4 783 783.1 781.9 783.6 783.2 783.2 782.5 782.1 782.8 782.6 781.9 782.6 781 782.6 782.4,141,141,141,0,0,0,1,52.75,162
