suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26284 25773 25606 25609 25619 25608 25608 25603 25640 25873 26634 26239 26179 26344 25910 25640 25785 26225 26243 26211,4326,4328,4328,0,0,0,935,1090,1500
CompilationBenchmarksBigNightly,caskApp,150,1,554.4 555.8 555.3 556 553.7 560.1 560.1 559.7 558.5 560.9 553.4 559.8 557.8 556.6 558.5 553.4 550.2 552.3 551.6 552.7,113.8,113.8,113.8,0,0,0,22,116.1,310
CompilationBenchmarksBigNightly,dottyUtils,170,1,1075 1189 1075 1140 1075 1072 1076 1086 1072 1078 1072 1070 1072 1075 1069 1072 1071 1068 1082 1071,159.2,159.2,159.2,0,0,0,2,81.6,547
CompilationBenchmarksBigNightly,fansi,150,1,1297 1298 1291 1267 1265 1280 1417 1326 1269 1264 1260 1265 1262 1265 1264 1261 1265 1402 1348 1255,207,207.1,207.1,0,0,0,395,550.3,1017
CompilationBenchmarksBigNightly,parallelCollections,100,1,4551 4547 4540 4554 4543 4542 4544 4595 4821 4657 4562 4540 4547 4539 4538 4536 4540 4538 4539 4589,601.7,601.7,601.8,0,0,0,1,71.6,202
CompilationBenchmarksBigNightly,re2s,120,1,1762 1771 1783 1776 1776 1773 1759 1781 1785 1767 1767 1875 1814 1771 1801 1768 1771 1785 1765 1762,258.4,258.5,258.5,0,0,0,5,179.4,859
CompilationBenchmarksBigNightly,scalaToday,150,1,3277 3277 3275 3366 3396 3386 3316 3395 3395 3386 3380 3393 3279 3271 3270 3275 3273 3276 3268 3293,506.2,506.3,506.3,0,0,0,13,145.9,355
CompilationBenchmarksBigNightly,scalaYaml,80,1,4432 4416 4401 4406 4363 4367 4352 4358 4357 4359 4357 4356 4407 4405 4416 4416 4413 4403 4420 4411,568.2,568.3,568.5,0,0,0,13,178.8,530
CompilationBenchmarksBigNightly,sourcecode,170,1,935.3 938.9 933.1 933.4 932 932.2 932.7 941 933.3 932.3 929.3 930.3 934 933.9 930.5 930.4 929.2 928.9 976.4 1010,166.4,166.4,166.4,0,0,0,0,97.25,496
CompilationBenchmarksBigNightly,tastyQuery,60,1,5009 5025 4999 5060 5056 5054 5053 5051 5349 5189 5085 5072 5013 4992 4990 4987 4986 4986 5038 4984,659.9,660,660.1,0,0,0,8,207.2,723
CompilationBenchmarksBigNightly,tictactoe,150,1,1217 1334 1208 1224 1175 1168 1144 1176 1215 1181 1216 1137 1137 1141 1140 1181 1139 1141 1157 1200,219,219.1,219.1,0,0,0,71,268.5,1059
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,776.8 778.7 777 777.1 776.5 775.2 776 806.4 811.3 786.6 809.3 813.3 804.5 812.5 781.3 779.5 789.5 803.2 805.1 812.9,142.5,142.5,142.5,0,0,0,0,57.25,161
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1576 1574 1574 1568 1588 1576 1568 1604 1638 1618 1608 1575 1647 1562 1620 1661 1611 1564 1575 1563,239.7,239.8,239.8,0,0,0,19,155.5,537
CompilationBenchmarksBigWeekly,scalaz,60,1,28621 27610 28405 27888 27133 27090 27032 28121 28331 27644 28674 28296 27304 28116 28296 27568 28289 28185 27561 28389,4106,4106,4106,0,0,0,13,191.1,837
CompilationBenchmarksSmallNightly,helloWorld,150,1,123.5 123.5 123.5 123.4 123.5 123.3 123.9 123.1 122.8 123.5 123.1 122.8 121.3 122.2 123 122.3 122 121.8 122 122.3,36.8,36.8,36.81,0,0,0,2,20.45,54
CompilationBenchmarksSmallNightly,implicitInductive,150,1,885.3 884.9 885.3 885.3 883.9 886.9 909.2 885.6 886 884.1 885.2 883.1 884.1 882.1 882.5 882.9 882.6 883.8 882.7 883,69.22,69.23,69.24,0,0,0,2,57.45,186
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,594.7 595.8 591.4 592.2 597.3 594.2 589 588.6 592.9 585.1 582.9 581.9 581.3 583.4 581.6 581.6 580.4 580.3 580.8 581,107.7,107.7,107.7,0,0,0,1,59.15,162
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,350.4 367.9 377.7 370.9 372.3 372 372.3 367.2 370 371 368.1 370.5 369.6 370.9 544.1 412.4 383.1 358 360 359.6,72.22,72.23,72.43,0,0,0,2,103,576
