suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26748 26762 26761 26773 26761 26751 27267 26889 26502 26762 26765 26748 26767 26765 27113 27163 27142 27794 27195 27114,4619,4620,4626,0,0,0,894,1061,1339
CompilationBenchmarksBigNightly,caskApp,150,1,614.6 609.3 639.1 646 640.4 607.1 609.3 606.4 638.5 647.5 645.5 608.4 610.9 611.2 611.4 642.3 622 642.3 605 604.2,152.6,152.6,152.6,0,0,0,1,146.9,416
CompilationBenchmarksBigNightly,dottyUtils,170,1,1188 1190 1188 1188 1258 1234 1192 1192 1202 1198 1191 1191 1194 1194 1192 1196 1192 1190 1202 1193,201.5,201.5,201.5,0,0,0,0,84.95,441
CompilationBenchmarksBigNightly,fansi,150,1,1343 1345 1344 1347 1344 1346 1343 1350 1344 1344 1344 1361 1344 1346 1342 1347 1341 1368 1373 1344,246.7,246.7,246.7,0,0,0,327,434.2,789
CompilationBenchmarksBigNightly,parallelCollections,100,1,4657 4812 4710 4722 4774 4662 4874 4658 4695 4661 4678 4649 4648 4650 4650 4673 4779 4752 4728 4786,673.1,673.1,673.1,0,0,0,1,84.8,266
CompilationBenchmarksBigNightly,re2s,120,1,1941 1941 1941 1942 1944 1944 1940 1952 1944 1939 1943 1942 1939 1939 1938 1935 1934 1932 1935 1933,324.7,324.8,324.9,0,0,0,1,211.9,935
CompilationBenchmarksBigNightly,scalaToday,150,1,3414 3408 3642 3405 3448 3513 3402 3409 3408 3416 3403 3399 3403 3399 3397 3402 3399 3404 3397 3403,585.2,585.3,585.7,0,0,0,17,139.1,385
CompilationBenchmarksBigNightly,scalaYaml,80,1,4578 4578 4572 4574 4570 4629 4622 4624 4621 4621 4619 4630 4626 4624 4622 4622 4696 4726 4740 4796,630.9,630.9,631,0,0,0,17,171.9,567
CompilationBenchmarksBigNightly,sourcecode,170,1,953.8 947.3 951.5 950.1 950.9 949.2 950 949.6 960.6 959.6 959.6 958.7 958.4 961.8 957.9 1005 997.3 1012 1011 988.4,200.5,200.5,200.6,0,0,0,0,83.15,365
CompilationBenchmarksBigNightly,tastyQuery,60,1,5205 5205 5203 5211 5217 5363 5355 5336 5295 5231 5192 5195 5203 5193 5195 5207 5205 5207 5205 5202,744.8,744.9,744.9,0,0,0,16,222.9,748
CompilationBenchmarksBigNightly,tictactoe,150,1,1242 1241 1240 1242 1240 1239 1240 1239 1243 1240 1242 1239 1237 1239 1263 1336 1324 1229 1236 1223,305.7,305.7,305.7,0,0,0,103,287.7,1276
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,943.4 837.8 836.1 840.3 836.2 863.4 837.4 832.8 834 834 832.8 832.8 832.8 833.6 833.6 831.6 836.3 835.2 861.6 877.2,180.6,180.6,180.6,0,0,0,4,67.55,181
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1629 1627 1631 1626 1626 1623 1626 1622 1624 1626 1624 1621 1621 1621 1621 1626 1630 1694 1664 1691,281.6,281.7,281.8,0,0,0,14,158.7,514
CompilationBenchmarksBigWeekly,scalaz,60,1,29468 29061 29035 28864 28772 30145 29172 32112 30107 29410 29288 30249 29378 29025 29530 29090 28880 30652 30357 29351,4225,4229,4232,2,2.85,3,3,216,847
CompilationBenchmarksSmallNightly,helloWorld,150,1,169.5 168.7 168.7 168.9 168.5 168.8 168.8 168.4 169.2 169.2 169 168.6 169.3 168.7 168 168.2 168.2 169.5 169 167.6,60.56,60.56,60.56,0,0,0,0,22.9,93
CompilationBenchmarksSmallNightly,implicitInductive,150,1,937.3 937 937 937 936.3 936.1 936.8 936.3 935.5 936.9 935.6 936.5 934.9 935.8 935.1 936.5 935.8 934.3 935.8 935.4,100.6,100.6,100.6,0,0,0,0,61.6,216
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,633.8 634.1 634.4 634.7 634.9 633.8 633.5 634.1 633.9 634.2 633.1 633.7 633.5 634.1 633.4 633.7 633.2 632.2 633.1 633.2,139.8,139.8,139.9,0,0,0,3,53.4,175
