suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26692 26974 27144 27100 27041 27465 27048 27152 26840 26702 26685 26675 26671 26678 26679 27139 26895 26669 26690 27058,4391,4391,4392,0,0,0,902,1051,1497
CompilationBenchmarksBigNightly,caskApp,150,1,581.5 578.4 577.7 578.2 577.1 572.9 578 576.5 577.4 577.1 577.4 579.6 578.9 575.3 581.8 576.1 576.2 576.7 575.7 573.4,110.5,110.5,110.5,0,0,0,7,107.7,367
CompilationBenchmarksBigNightly,dottyUtils,170,1,1119 1133 1105 1099 1094 1094 1098 1097 1102 1099 1094 1093 1094 1097 1093 1094 1093 1092 1112 1219,158.9,158.9,158.9,0,0,0,1,90.8,459
CompilationBenchmarksBigNightly,fansi,150,1,1301 1301 1302 1304 1301 1300 1300 1302 1304 1288 1302 1304 1306 1305 1305 1290 1291 1294 1293 1288,206.5,206.5,206.5,0,0,0,402,502.3,872
CompilationBenchmarksBigNightly,parallelCollections,100,1,4713 4668 4900 4667 4756 4734 4672 4672 4684 4684 4671 4673 4666 4668 4667 4669 4672 4664 4666 4673,603,603,603.1,0,0,0,1,95.3,321
CompilationBenchmarksBigNightly,re2s,120,1,1842 1842 1852 1861 1866 1862 1859 1875 1874 1860 1858 1872 1859 1858 1891 1853 1837 1843 1831 1846,260.6,260.6,260.7,0,0,0,6,211.4,1014
CompilationBenchmarksBigNightly,scalaToday,150,1,3342 3523 3525 3339 3331 3345 3333 3331 3337 3334 3332 3330 3336 3331 3330 3333 3332 3355 3333 3333,495.4,495.4,495.6,0,0,0,11,101.6,319
CompilationBenchmarksBigNightly,scalaYaml,80,1,4522 4527 4458 4457 4457 4465 4456 4456 4451 4453 4512 4513 4515 4509 4463 4459 4459 4511 4508 4458,570.5,570.6,570.9,0,0,0,27,180.5,575
CompilationBenchmarksBigNightly,sourcecode,170,1,1016 931 924.2 924.7 944.1 935.8 933.7 938 934.6 933.1 931.5 933.6 935.8 932.4 931.2 930.6 930.7 930.5 930.1 932.9,166.8,166.8,166.8,0,0,0,0,87.5,386
CompilationBenchmarksBigNightly,tastyQuery,60,1,5189 5186 5181 5205 5181 5177 5176 5175 5182 5262 5298 5261 5331 5209 5180 5202 5193 5174 5174 5174,660,660.1,660.2,0,0,0,13,203.2,536
CompilationBenchmarksBigNightly,tictactoe,150,1,1134 1135 1148 1134 1133 1133 1134 1134 1133 1132 1131 1131 1131 1130 1130 1128 1129 1127 1133 1129,216.8,216.9,216.9,0,0,0,45,256.7,1597
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,779.9 788 787.4 791.9 787.6 782.1 779.7 779 777.4 776.5 777.4 778.5 779.3 778.2 776.8 777.1 775.4 788.5 785.5 785.3,141.9,142,142,0,0,0,0,62.15,195
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1579 1578 1578 1577 1589 1597 1596 1595 1594 1596 1594 1593 1591 1594 1601 1593 1604 1593 1593 1571,240.6,240.7,240.8,0,0,0,18,170.8,442
CompilationBenchmarksBigWeekly,scalaz,60,1,29540 28366 28906 28574 28674 28918 28625 28612 28738 29045 29468 28495 28471 28267 28449 28367 28513 28480 28394 28539,4061,4064,4069,2,2.95,3,30,195,820
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.6 124.5 125.2 123.3 123.4 123.9 124.3 124.2 125.4 124.9 124.3 124.1 123.1 126.8 126.8 124.2 124.1 125.4 123.7 123.3,34.68,34.68,34.69,0,0,0,1,29.15,96
CompilationBenchmarksSmallNightly,implicitInductive,150,1,887.9 888.1 887.8 887.3 886 887.8 892.9 886.8 889.4 887.2 887.6 886 887.1 885.6 886.6 886 886.3 886.5 885.7 885.9,67.38,67.39,67.39,0,0,0,1,62.05,166
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,584.9 584.9 584.6 584.6 584.6 584.7 586.4 584.6 584.2 578.4 579 578.4 581.1 580.1 578.9 579.2 580.1 580.5 578.5 576.9,106.5,106.5,106.5,0,0,0,6,63.2,269
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,364.1 368 364.7 362.6 361.3 362.9 364.4 401.7 360.8 358.4 359.9 360.6 360.7 360.6 360.8 359 360.9 358.4 360.7 359.8,70.59,70.61,70.8,0,0,0,0,93.85,622
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,249.3 249.3 248.9 248.4 247.9 248.1 248.2 248.5 248.7 249.7 248.8 251.7 248.1 248.4 249 256.9 251 258.9 250.7 246.5,61.46,61.5,61.66,0,0,0,0,70.15,460
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.5 163.7 163.7 163.3 163.8 163.7 163.5 171.1 164.2 164.9 164.4 163.7 163.6 163.7 164.6 163.5 162.8 164.6 163.9 163.3,45.1,45.11,45.11,0,0,0,1,40.25,137
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,156.1 156.1 156 155.9 155.5 156.7 155.1 155.7 157.1 155.8 156.6 155.2 155.4 153.9 155.2 154.7 155.7 157.6 155.1 154.7,39.89,39.89,39.89,0,0,0,2,27.25,93
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,148.8 151 149.8 151.5 155.8 149.3 149.3 149 149.7 149.5 148.2 148.7 148.5 148.8 147.4 148.4 148.2 146.1 158.7 155.4,39.95,39.96,39.96,0,0,0,2,30.4,97
CompilationBenchmarksSmallWeekly,findRef,150,1,118.3 115.3 114.2 114.1 115.5 115.1 114 114.2 114.7 114.4 114.1 114.4 113.1 113.5 113.9 113.7 112.4 112.5 112.8 113.3,30.59,30.59,30.59,0,0,0,2,30.55,88
CompilationBenchmarksSmallWeekly,i1535,150,1,195 189.4 189.4 187.3 197.1 189.2 190.8 189 188.8 189.2 187.8 186.8 187.5 188.3 188.2 187.4 187.9 188.7 194.2 199.6,45.25,45.25,45.26,0,0,0,4,51.35,148
CompilationBenchmarksSmallWeekly,i1687,150,1,117.3 117.9 117.4 117.2 116.5 116.9 116.5 116.2 117.8 116.8 116.5 116.2 122.9 116.7 117.3 117.5 117 118 117.8 117.2,33.55,33.55,33.55,0,0,0,2,32.95,99
CompilationBenchmarksSmallWeekly,implicitCache,150,1,173.8 198.6 186.5 173.4 173 172.6 173.2 172.4 179.4 175.9 172.4 173.2 172.9 173.7 171.8 172.3 172.6 173.7 172.4 171.5,44.79,44.79,44.79,0,0,0,2,27.7,115
CompilationBenchmarksSmallWeekly,implicitNums,150,1,377.3 379.6 377.3 377.4 377 376.9 376 376 378.7 376.4 376.1 376.2 376.1 375.7 376.4 377.1 376.2 378 376 375.2,88.12,88.12,88.13,0,0,0,0,33.1,161
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,175.5 174.8 174.5 174.7 175.4 174.5 174 174.7 184 174.4 174.1 173.8 174.3 174 173.6 173.7 174.3 175.1 173.7 173,45.15,45.16,45.16,0,0,0,0,24.2,117
CompilationBenchmarksSmallWeekly,tuple,150,1,191.6 194.4 193.1 193.8 192.9 193.4 193.2 193.5 192.3 193.4 193.2 192.4 192.2 195.1 191.8 193.9 192.2 188.8 190.9 191.5,47.54,47.54,47.55,0,0,0,1,25.65,110
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,149.3 149.1 149.3 149.2 149 149.2 147.6 149 148.8 148.3 150 149.3 148.8 148.3 148.5 148.1 148.4 148.7 154.5 148.7,38.94,38.95,38.95,0,0,0,1,33.05,119
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,177 178.7 177.6 178.3 176.1 176.5 176.8 176.7 176.3 175.9 177.3 177.5 176.6 176.1 176.4 175.8 176.4 176.6 175.8 175.6,45.1,45.1,45.11,0,0,0,0,22.05,122
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,118.3 119.5 118.2 118.2 117.7 117.8 118 117.3 117.6 117.6 117.7 117.7 117.6 117.4 116.9 117.1 117.3 118.8 118.8 117,33.55,33.55,33.55,0,0,0,0,28.35,110
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,135.9 136.8 136.3 135.6 136.1 136.3 136.3 136.3 136.2 137.2 136.3 136.6 136.2 136.5 134.5 136.5 135.2 135.2 135.4 135.6,36.69,36.7,36.7,0,0,0,0,30.5,121
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,178.4 178.1 177.4 176.8 176.9 176.5 177.6 176.4 177.1 184.5 177.8 178.3 178 178.9 177.9 179.3 177.7 179 178.6 176.5,44.27,44.28,44.28,0,0,0,10,41.45,110
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,121 121.1 120.7 120.4 120.5 120.5 120.4 133.8 140.9 135.8 136.9 137.3 137.3 137.6 136.5 136.7 137 138.7 136.2 135.5,35.08,35.08,35.09,0,0,0,0,25.4,95
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5342 5289 5333 5262 5286 5135 5126 5123 5375 5152 5275 5143 5146 5145 5120 5147 5120 5121 5116 5117,656.2,656.2,656.3,0,0,0,37,233.7,1192
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.77 21.76 21.77 21.76 21.73 21.65 21.74 21.72 21.63 21.85,4.439,4.439,4.439,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.14 15.18 15.16 15.13 15.14 15.17 15.12 15.13 15.12 15.12,16.82,16.82,16.82,0,0,0,0,0.8,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,30.94 30.86 30.83 31 34.04 32.41 32.28 30.72 30.6 30.55 30.57 30.63 30.51 30.69 30.62 30.59 30.57 30.56 30.6 30.62,36.4,36.44,36.52,0,0,0,0,0.6,4
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.59 23.41 23.39 23.42 23.2 23.08 23.09 23.08 23.08 23.08,15.8,15.81,15.83,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,228.7 138.9 138.1 138.5 138.8 138.7 139.3 141 144.1 139.5 138.7 139.3 139.2 139.5 139.1 139.2 139.9 140.6 139.6 139.6,490.4,490.4,490.4,0,0,0,0,0.7,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.62 14.6 14.64 14.61 14.59 14.61 14.61 14.59 14.63 14.65,16.53,16.53,16.53,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,97.14 96.91 97.07 96.68 96.76 96.88 97.1 97.02 97.47 105.8 103.3 96.46 96.71 96.78 96.76 97.16 96.5 96.66 96.67 96.39,23.26,23.26,23.26,0,0,0,0,1.45,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,70.22 69.82 69.6 71.23 69.8 69.58 70.13 70.15 70.07 69.65,0.7268,0.7268,0.7268,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.5 150.5 150.5 150.5 150.5 150.5 150.6 150.5 150.5 150.6 150.9 150.6 150.5 150.5 150.5 150.5 150.5 150.5 150.5 152.8,0.006784,0.006784,0.006784,0,0,0,0,1.3,10
RuntimeBenchmarksAwfyWeekly,nbody,10,10,412.6 408.1 409 408.9 412.7 407.9 421.2 415.1 409.1 412,60.01,60.01,60.01,0,0,0,0,0.7,2
