suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,28492 28019 28160 28429 27378 28446 29149 27966 28432 28474 27181 27057 27366 28326 28392 27779 29094 28303 27652 28302,5005,5006,5007,0,0,0,908,1062,1458
CompilationBenchmarksBigNightly,caskApp,150,1,562.9 562.1 563.8 563.4 563.2 561.3 559.9 569.8 560.5 562.1 560.1 559.2 558.6 559.6 557.9 560.3 560 557.4 558.3 559.3,110,110,110,0,0,0,2,94.15,270
CompilationBenchmarksBigNightly,dottyUtils,170,1,1081 1083 1080 1080 1082 1080 1080 1080 1082 1091 1081 1080 1079 1080 1079 1080 1090 1091 1091 1094,158.5,158.5,158.5,0,0,0,0,109.4,858
CompilationBenchmarksBigNightly,fansi,150,1,1312 1309 1314 1308 1308 1311 1310 1314 1309 1309 1311 1308 1307 1308 1307 1311 1306 1309 1307 1306,212.4,212.5,212.6,0,0,0,309,409.8,701
CompilationBenchmarksBigNightly,parallelCollections,100,1,4495 4556 4542 4541 4539 4540 4541 4584 4538 4541 4771 4539 4669 4566 4545 4537 4549 4540 4542 4538,603,603,603,0,0,0,1,87.6,280
CompilationBenchmarksBigNightly,re2s,120,1,1824 1824 1831 1823 1823 1818 1813 1831 1852 1840 1838 1849 1832 1814 1844 1810 1809 1825 1809 1807,260.9,260.9,261.1,0,0,0,5,224.9,756
CompilationBenchmarksBigNightly,scalaToday,150,1,3292 3295 3296 3295 3292 3324 3352 3329 3327 3327 3326 3328 3326 3326 3326 3327 3327 3326 3327 3324,492.8,492.8,492.8,0,0,0,26,128.5,304
CompilationBenchmarksBigNightly,scalaYaml,80,1,4435 4488 4488 4486 4483 4487 4484 4482 4493 4483 4496 4667 4833 4758 4422 4470 4423 4421 4419 4418,570.1,570.2,570.4,0,0,0,12,173.9,490
CompilationBenchmarksBigNightly,sourcecode,170,1,946.7 944.4 947.7 945.6 946.4 945.8 946.1 946 945.3 944.6 944.9 944.5 940.1 945.1 943.7 943.7 944.4 939.5 943.8 944.1,166.2,166.2,166.2,0,0,0,0,86.3,373
CompilationBenchmarksBigNightly,tastyQuery,60,1,5365 5316 5162 5054 5054 5080 5076 5082 5082 5075 5075 5077 5074 5073 5024 5107 5025 5098 5132 5077,660.4,660.5,660.6,0,0,0,32,195.8,488
CompilationBenchmarksBigNightly,tictactoe,150,1,1157 1153 1154 1155 1152 1152 1152 1151 1154 1153 1156 1151 1169 1149 1151 1155 1145 1144 1143 1144,215.9,216,216,0,0,0,79,289.9,1463
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,771.8 773.1 770.4 775.5 783.3 770.7 763.2 764.3 762.3 761.7 762.7 763.4 763 762.3 762.4 762.9 760.7 765.3 761.4 761.9,141.3,141.3,141.3,0,0,0,0,58.4,164
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1581 1580 1580 1580 1581 1580 1580 1578 1579 1579 1577 1576 1576 1576 1575 1576 1574 1573 1573 1574,241.1,241.2,241.3,0,0,0,19,168.7,610
CompilationBenchmarksBigWeekly,scalaz,60,1,28905 28783 28004 29596 28238 27945 27825 28029 27966 27996 28124 28386 28739 29025 28945 28034 27954 28046 28011 28457,4054,4057,4062,2,2.95,3,9,215.8,851
CompilationBenchmarksSmallNightly,helloWorld,150,1,123.8 125 122 122.6 123.4 122.1 122.1 121.7 121.1 123.3 121.7 121.5 121.4 121.6 121.4 121.3 120.8 119.8 121.2 121.1,34.66,34.66,34.67,0,0,0,1,25.65,88
CompilationBenchmarksSmallNightly,implicitInductive,150,1,879.1 880 878.5 878.1 878 886.8 882.2 881.4 884.1 883.3 882.3 880.8 898.3 903.2 893.3 898.6 880.4 880.6 879.9 880.3,67.42,67.43,67.43,0,0,0,0,53.6,206
