suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26350 26629 26221 25806 26938 27588 26300 26495 26796 26368 26569 26074 25676 26272 26699 26414 28423 29274 28044 27143,4682,4683,4684,0,0,0,949,1089,1397
CompilationBenchmarksBigNightly,caskApp,150,1,571.9 571.7 571.9 567.6 570.3 570.4 570.6 571 568.5 576.6 575 575.4 576.6 574.3 572.1 573.6 572.4 571.4 571.9 572.2,129,129,129,0,0,0,9,109.6,397
CompilationBenchmarksBigNightly,dottyUtils,170,1,1116 1100 1100 1099 1099 1100 1099 1099 1099 1098 1098 1099 1097 1098 1098 1098 1097 1097 1096 1100,177.1,177.1,177.1,0,0,0,0,77.5,659
CompilationBenchmarksBigNightly,fansi,150,1,1322 1315 1310 1299 1298 1302 1300 1300 1296 1297 1295 1298 1301 1295 1295 1296 1296 1300 1295 1295,212.6,212.6,212.6,0,0,0,295,409.5,761
CompilationBenchmarksBigNightly,parallelCollections,100,1,4578 4586 4584 4585 4585 4585 4584 4586 4583 4585 4583 4586 4585 4583 4691 4719 4607 4584 4593 4584,658,658,658,0,0,0,1,74.75,242
CompilationBenchmarksBigNightly,re2s,120,1,1848 1846 1865 1900 2016 1925 1855 1898 1889 1871 1913 2086 1872 1860 1890 1856 1859 1872 1862 1854,309.5,309.6,309.7,0,0,0,2,201.4,1123
CompilationBenchmarksBigNightly,scalaToday,150,1,3338 3336 3333 3332 3332 3339 3333 3348 3335 3461 3389 3382 3436 3336 3339 3338 3341 3336 3334 3332,566.2,566.3,566.3,0,0,0,18,153,441
CompilationBenchmarksBigNightly,scalaYaml,80,1,4578 4581 4577 4576 4572 4583 4577 4569 4569 4572 4569 4571 4568 4568 4580 4577 4573 4564 4567 4572,620.8,620.9,621.1,0,0,0,9,177.2,508
CompilationBenchmarksBigNightly,sourcecode,170,1,947.4 941 945.2 943.6 952.8 943.5 943.4 942 942.5 940.7 940.6 940.4 938.1 945.6 940.4 941.2 941.4 940.7 941.7 940.5,180.8,180.8,181,0,0,0,0,86.95,343
CompilationBenchmarksBigNightly,tastyQuery,60,1,5155 5084 5082 5164 5105 5155 5541 5288 5173 5158 5156 5155 5152 5152 5154 5155 5149 5153 5143 5148,706,706,706.1,0,0,0,21,212.3,669
CompilationBenchmarksBigNightly,tictactoe,150,1,1154 1154 1154 1154 1155 1154 1154 1153 1153 1153 1153 1152 1151 1152 1151 1169 1150 1161 1161 1159,248.9,249,249,0,0,0,0,145.4,699
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,793 793.1 791.4 792.3 791 791.2 790.9 789.1 791.6 791.6 790 790.2 789.6 791 790.3 789.7 790.2 788.5 789.6 789.4,153.7,153.7,153.7,0,0,0,3,59.7,161
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1607 1611 1611 1606 1613 1612 1609 1621 1607 1606 1605 1607 1605 1601 1659 1602 1608 1600 1601 1601,265.2,265.4,265.5,0,0,0,16,198.2,1313
CompilationBenchmarksBigWeekly,scalaz,60,1,28583 28855 28520 28867 28907 29433 29676 29344 28596 28872 28813 28539 29284 28812 29629 29080 29137 28865 28629 28577,4536,4539,4541,2,2.15,3,37,205.9,770
CompilationBenchmarksSmallNightly,helloWorld,150,1,144 143.4 142.4 142.9 128.8 141.8 142.1 142.1 145.3 145.2 142.7 142.5 143.4 143.4 141.3 142.3 141.2 144.2 141 141.1,39.54,39.54,39.55,0,0,0,0,21.75,95
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1054 947.9 974.5 951.3 948.4 950.5 947 948.6 950.7 948 948.2 947.5 947 945.7 947 947 947.2 947.2 946.5 946.9,193.7,193.7,193.7,0,0,0,0,52.35,226
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,597.7 598.3 598.3 598.3 592 591.6 592.7 590.7 591.3 592.2 598.5 597 592.9 591.2 590.4 661.7 600.5 591.8 593 595.4,128.5,128.5,128.5,0,0,0,0,71.65,336
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,360.3 365.7 362.9 363.2 361 355.9 356 355.5 354.8 356.1 354.2 355.1 354.6 355.5 355.1 354 354.4 352.4 353.9 354.5,79.97,79.98,80.11,0,0,0,3,93.5,538
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,257.7 250.3 248.9 248.9 248.5 248.7 248.3 248.2 248.8 250.2 249.7 247.8 248.6 249.5 247.3 248.8 250.4 250.9 248.9 247.8,68.88,68.91,68.92,0,0,0,1,76.85,307
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,170.6 169.5 170.1 167.4 161.7 169.6 161.7 161.9 172.6 173.4 172.2 162.7 172 170.9 171.6 170.9 170.3 165.3 165.4 170.2,50.38,50.39,50.39,0,0,0,0,36.45,127
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,151.7 152.8 151.2 151.6 151.1 151.8 151.8 151.4 152.7 151.7 152 151 152.1 151.8 150.7 151.2 151.3 154 151.3 150.1,44.87,44.87,44.87,0,0,0,1,31.4,205
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,157.7 161.6 156.3 168.1 156 160.7 160.1 153 158.4 152.3 158.2 156.7 149.1 151.7 153.8 151.3 150.1 151.4 150 148.7,44.82,44.83,44.84,0,0,0,0,44.4,131
CompilationBenchmarksSmallWeekly,findRef,150,1,119.5 119.7 118.6 118.7 120.7 119.2 118.2 118.9 118.6 119.5 118.4 118 117.5 117.6 118.3 118 116.9 116.3 117.7 117.8,35.02,35.02,35.03,0,0,0,0,34.6,118
CompilationBenchmarksSmallWeekly,i1535,150,1,201.2 209 206.1 203.9 201.3 208.4 196.2 206.4 203.8 203.9 192.5 202.2 194.4 195.7 194.9 193.7 194 192.2 194.2 193.8,52.8,52.8,52.81,0,0,0,5,44.05,199
CompilationBenchmarksSmallWeekly,i1687,150,1,121.1 121 120.8 120.4 120.8 120.8 120.8 121 120.3 122.4 121.4 121.1 120.1 120.2 120.2 120.5 120.8 118.8 119.1 120.5,37.71,37.71,37.72,0,0,0,1,24.1,88
CompilationBenchmarksSmallWeekly,implicitCache,150,1,189.2 187.1 188 181.6 177 185.9 174.5 176.8 178.2 174.8 175 174.8 174.7 175.1 199.6 191.8 175.4 176 175.1 174,51.44,51.44,51.45,0,0,0,1,31,125
CompilationBenchmarksSmallWeekly,implicitNums,150,1,376.5 378.9 376 375.1 375.4 375.8 376.3 374.4 377.1 375.3 374.8 374.6 374 374 375.4 375.1 374.5 377.1 374.3 374.3,105,105,105,0,0,0,0,35.05,180
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,180.8 181.6 180.5 184.3 180.3 180.7 182.3 181.3 179.3 180.6 183.6 181.1 181 181 180.9 189.4 180.7 184 180.8 180.1,51.93,51.93,51.94,0,0,0,0,25.9,122
CompilationBenchmarksSmallWeekly,tuple,150,1,189 188.1 188.6 188.4 187.4 188 187.8 187.4 189.4 188.4 188.4 187.4 188 188.6 187.4 187.5 187.8 189.5 187.4 187.6,54.17,54.17,54.18,0,0,0,1,28.35,133
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,158.2 158.4 157.6 157.7 157.6 158 156.3 158 156.3 158.1 156 158.2 156.4 157.6 157.1 157.3 157.3 154.6 157 157.1,44.59,44.59,44.59,0,0,0,0,25.15,105
