suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,24561 23849 23858 24040 23617 23606 23800 24442 24729 24056 24213 24789 24914 24107 24001 24516 25047 25009 24141 24635,3755,3755,3756,0,0,0,890,1035,1431
CompilationBenchmarksBigNightly,caskApp,150,1,553.1 555.7 554.6 553.6 553.6 553.4 552.3 553.4 552.9 554.1 552.7 553 550.9 551.1 551.1 562.2 554.4 556.2 555.6 551.1,113.2,113.2,113.2,0,0,0,3,109.4,319
CompilationBenchmarksBigNightly,dottyUtils,170,1,1094 1095 1094 1095 1093 1093 1093 1094 1092 1093 1092 1092 1090 1092 1092 1093 1091 1092 1091 1091,159.1,159.1,159.1,0,0,0,0,81.3,464
CompilationBenchmarksBigNightly,fansi,150,1,1043 1040 1039 1041 1039 1040 1040 1039 1042 1039 1038 1039 1028 1023 1037 1037 1038 1039 1040 1156,164.3,164.3,164.5,0,0,0,332,460.5,799
CompilationBenchmarksBigNightly,parallelCollections,100,1,4502 4503 4546 4554 4553 4551 4564 4555 4498 4549 4496 4700 4695 4540 4501 4495 4501 4497 4547 4550,602.2,602.2,602.2,0,0,0,2,85.9,281
CompilationBenchmarksBigNightly,re2s,120,1,1843 1844 1840 1825 1858 1835 1842 1848 1815 1798 1794 1809 1846 1829 1834 1793 1793 1810 1789 1787,261.2,261.2,261.4,0,0,0,3,184,1026
CompilationBenchmarksBigNightly,scalaToday,150,1,2985 2982 2982 2984 2982 2990 2979 2980 2984 2947 2945 2945 2951 2944 2945 2948 2946 2950 2947 2946,476.5,476.6,476.9,0,0,0,14,119.7,300
CompilationBenchmarksBigNightly,scalaYaml,80,1,4224 4224 4222 4220 4219 4227 4225 4544 4576 4355 4347 4343 4256 4346 4302 4219 4218 4219 4219 4219,551.3,551.4,551.8,0,0,0,13,165.1,482
CompilationBenchmarksBigNightly,sourcecode,170,1,929.2 930.7 926.2 926.4 924.6 925.9 925.4 930.1 925.5 925.9 923 924.7 926.6 922.3 922.3 923.4 921.1 921.6 922.7 924.7,161.8,161.8,161.8,0,0,0,0,95.4,392
CompilationBenchmarksBigNightly,tastyQuery,60,1,4938 4934 4937 4938 4942 4935 4934 4928 4930 4927 4927 4927 4924 4928 4929 4927 4927 4930 4932 4934,641.7,641.8,641.9,0,0,0,16,212.2,752
CompilationBenchmarksBigNightly,tictactoe,150,1,1152 1164 1134 1131 1131 1145 1130 1129 1128 1128 1127 1127 1127 1127 1126 1126 1126 1126 1127 1127,217.3,217.3,217.4,0,0,0,71,256.3,1189
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,796.4 805.4 782.2 784.8 809.4 827.3 798.4 817.3 823.6 803.1 817.1 775.5 769 767.5 766.7 768.3 765.7 770.2 766.9 767.5,143,143,143,0,0,0,2,58.65,170
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1649 1640 1663 1621 1659 1640 1811 1619 1647 1641 1652 1647 1638 1581 1589 1556 1569 1556 1554 1556,241.6,241.6,241.6,0,0,0,12,175.8,641
