suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26597 26685 26544 26687 26574 26716 26591 26524 26445 26690 26909 26441 26452 26449 26430 26431 26444 26425 26423 26434,4404,4404,4405,0,0,0,913,1066,1418
CompilationBenchmarksBigNightly,caskApp,150,1,575 577.1 577 576.2 575.3 575.1 574 575.8 575.1 575.5 574.8 575.9 569.7 571.5 573.2 575 569.5 589 570.5 571.6,124.9,124.9,124.9,0,0,0,8,117.9,361
CompilationBenchmarksBigNightly,dottyUtils,170,1,1106 1107 1105 1106 1106 1107 1106 1106 1106 1105 1105 1105 1103 1104 1109 1108 1104 1104 1105 1105,167.1,167.1,167.1,0,0,0,1,81.55,528
CompilationBenchmarksBigNightly,fansi,150,1,1286 1274 1276 1278 1273 1273 1273 1274 1277 1273 1273 1274 1272 1274 1273 1273 1272 1274 1275 1273,214.8,214.9,214.9,0,0,0,311,417.4,702
CompilationBenchmarksBigNightly,parallelCollections,100,1,4506 4517 4506 4519 4514 4508 4520 4518 4515 4521 4513 4516 4513 4515 4513 4511 4517 4515 4509 4514,610.5,610.5,610.5,0,0,0,0,85.6,303
CompilationBenchmarksBigNightly,re2s,120,1,1826 1829 1825 1828 1854 1830 1825 1840 1846 1842 1957 1890 1840 1864 1849 1841 1836 1836 1835 1836,266.1,266.2,266.3,0,0,0,4,171.6,696
CompilationBenchmarksBigNightly,scalaToday,150,1,3459 3475 3468 3389 3357 3361 3372 3596 3344 3661 3384 3361 3339 3334 3334 3336 3334 3340 3335 3337,529.3,529.3,529.7,0,0,0,13,133.6,317
CompilationBenchmarksBigNightly,scalaYaml,80,1,4493 4499 4489 4538 4537 4553 4545 4694 5087 4780 4695 4849 5143 4563 4563 4546 4537 4568 4807 4720,584.2,584.3,584.5,0,0,0,13,174.7,510
CompilationBenchmarksBigNightly,sourcecode,170,1,945.1 946 943.3 943.1 942.1 941.5 941.7 944.6 941.8 941.5 940.9 940.7 942.2 944.3 939.9 938.9 938.8 938.7 943 939.6,173.3,173.3,173.5,0,0,0,0,95.9,426
CompilationBenchmarksBigNightly,tastyQuery,60,1,5162 5165 5151 5159 5161 5141 5261 5572 5144 5142 5353 5416 5290 5287 5361 5707 5340 5262 5129 5135,671.3,671.3,671.4,0,0,0,13,222.2,670
CompilationBenchmarksBigNightly,tictactoe,150,1,1151 1150 1150 1148 1175 1162 1191 1146 1153 1153 1152 1154 1153 1153 1151 1150 1152 1149 1151 1152,237.8,237.9,237.9,0,0,0,74,277.2,1266
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,794.2 795.9 794.5 798.2 794.3 793.7 793.3 792.8 793.6 793.3 793.3 784.6 785 785.3 784.8 784.4 784.5 783.6 784.4 784.5,149.1,149.1,149.1,0,0,0,4,56.95,157
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1574 1584 1579 1576 1584 1582 1578 1592 1577 1576 1662 1628 1592 1602 1589 1571 1578 1584 1578 1570,248.5,248.7,248.8,0,0,0,4,184.2,677
CompilationBenchmarksBigWeekly,scalaz,60,1,27889 27854 28269 29614 29060 29751 29894 28557 28102 29035 28984 28834 29243 28920 28104 27888 29077 29110 28586 29019,4107,4108,4108,0,0,0,17,201.2,834
CompilationBenchmarksSmallNightly,helloWorld,150,1,126.5 127 126.1 126.1 125.7 125.9 124.1 125.7 126.9 124.2 124.5 124.7 124.8 125 124.4 124.5 124.2 126 124.5 124.3,39.16,39.17,39.17,0,0,0,0,25.25,100
CompilationBenchmarksSmallNightly,implicitInductive,150,1,882.8 882.5 882.2 882.4 881.9 881.9 882.2 881.9 881.1 881.8 880.2 882.7 880.9 883.2 881 882.1 881.5 878.9 881.2 881.1,74.26,74.27,74.28,0,0,0,0,58.05,177
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,598 597 596.7 596.5 658.1 605.9 598.4 596.2 611.3 600.5 597.4 596 601.5 597.7 596.1 596 597.3 597.2 596.2 593.8,113,113,113,0,0,0,3,64.5,194
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,348 352.8 352.7 356.6 351.4 347.8 347.6 347.1 350.5 350.5 348.2 347 346.2 346.2 345.8 347.1 345.5 348 345.5 345.2,77.78,77.79,77.84,0,0,0,2,102.1,671
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,247.9 246.5 246.2 245.9 248.3 248.9 248.4 247.9 249.7 250.2 249.6 290.6 250.9 254.8 247.9 250.1 250.5 253.2 250.4 245.8,67.41,67.43,67.44,0,0,0,0,78.75,494
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,159.1 159.9 159.5 160.1 159.8 160.5 159.6 158.7 159.5 158.6 158.7 159.2 158.9 159.5 159.8 159.5 159.2 158.2 158.9 159,49.33,49.34,49.34,0,0,0,1,35.2,109
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,149 148.7 149.1 149.2 148.7 147.9 148.8 149 148.7 149.5 147.8 148.2 147.4 148.3 148.3 148.1 146.9 145.4 147.5 147,44.26,44.26,44.26,0,0,0,1,29.2,138
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,146.8 148.3 147.1 147.8 147.1 146.9 147.4 146.5 147.6 146.9 146.6 147.3 146.3 146 145.6 147.1 146.4 145 146.9 146.2,44.15,44.16,44.16,0,0,0,0,28.45,79
CompilationBenchmarksSmallWeekly,findRef,150,1,119.5 119.2 117.9 118.4 119.4 118.5 118.6 117.5 118.1 117.7 117.9 117.7 118.1 117.7 117.6 116.9 118 118.8 117.8 116.7,34.59,34.59,34.6,0,0,0,0,28.7,72
CompilationBenchmarksSmallWeekly,i1535,150,1,191.2 189.5 187.7 187.7 189.4 188 186.8 188.5 188 188.1 187.8 187.2 186.8 187.2 187.3 187.1 187.3 185.8 186.9 186.4,50.74,50.75,50.75,0,0,0,6,43.8,155
CompilationBenchmarksSmallWeekly,i1687,150,1,121.7 122.3 121.6 123 121.4 121.4 121 122 122.7 123.1 121.4 121.3 122.9 121.1 120.8 121.6 121.5 121.9 122.2 121.3,37.15,37.15,37.15,0,0,0,0,19.75,52
CompilationBenchmarksSmallWeekly,implicitCache,150,1,170 169.5 169.1 169.1 168.9 168.9 169.2 169 168.5 169 169 168 168.6 168.3 168 167.8 168.3 166.8 168.4 168.4,50.67,50.67,50.67,0,0,0,0,27.45,109
CompilationBenchmarksSmallWeekly,implicitNums,150,1,385.6 388.4 377.1 385.3 385.5 390.5 384.9 374.2 391 384.5 383.9 383.9 374.3 383 372.3 372.1 369.6 373.2 369.7 369.7,93.9,93.91,93.91,0,0,0,0,38.85,199
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,178.5 177.4 175.4 177.9 176.5 177 174.2 177.5 176.8 174.9 178.9 176 177.1 175.1 177.5 176 176 173.8 176.1 175.4,51.08,51.08,51.09,0,0,0,0,20.9,111
