suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26855 27146 27043 27378 26938 26422 26314 26322 26317 26296 26310 26290 26311 26562 26326 26303 26303 26547 26598 26627,4460,4462,4468,0,0,0,908,1093,1485
CompilationBenchmarksBigNightly,caskApp,150,1,565.6 562.4 560.8 561.7 560.5 561.1 563.6 561.9 562.6 561.9 562.7 560.8 562.1 561.8 562 558.9 565.4 556.5 552.5 551.6,114.6,114.6,114.6,0,0,0,12,130.1,335
CompilationBenchmarksBigNightly,dottyUtils,170,1,1107 1107 1107 1108 1105 1107 1107 1106 1107 1105 1105 1105 1105 1105 1105 1106 1105 1105 1105 1113,160.2,160.2,160.2,0,0,0,0,75.25,502
CompilationBenchmarksBigNightly,fansi,150,1,1279 1278 1278 1277 1262 1264 1261 1264 1267 1267 1261 1260 1268 1262 1262 1261 1259 1277 1277 1274,194.1,194.2,194.4,0,0,0,292,391.6,744
CompilationBenchmarksBigNightly,parallelCollections,100,1,4586 4586 4578 4587 4584 4583 4586 4586 4583 4585 4679 4740 4700 4743 4769 4754 4696 4580 4588 4581,605.5,605.5,605.5,0,0,0,0,86.3,250
CompilationBenchmarksBigNightly,re2s,120,1,1824 1822 1819 1821 1823 1820 1823 1842 1824 1823 1818 1821 1818 1816 1816 1819 1814 1815 1814 1813,261.2,261.3,261.3,0,0,0,5,184.5,637
CompilationBenchmarksBigNightly,scalaToday,150,1,3348 3347 3345 3347 3347 3351 3344 3345 3350 3344 3345 3345 3348 3345 3342 3312 3344 3347 3343 3342,507.1,507.2,507.2,0,0,0,28,138,358
CompilationBenchmarksBigNightly,scalaYaml,80,1,4471 4473 4469 4470 4469 4476 4470 4467 4467 4402 4400 4398 4399 4398 4462 4465 4467 4461 4460 4463,570.8,570.8,570.9,0,0,0,9,169.1,523
CompilationBenchmarksBigNightly,sourcecode,170,1,916.5 943.9 916.3 917.1 913.6 924.6 925.4 928.9 931.8 924.4 921.2 922.8 925.9 926.4 921.7 921.4 921 920.4 920.4 923.2,166.5,166.5,166.7,0,0,0,0,101.8,402
CompilationBenchmarksBigNightly,tastyQuery,60,1,5062 5076 5059 5069 5006 5052 5052 5053 5054 5051 5047 5048 5062 5058 5059 5060 5061 5057 5054 5058,661.2,661.3,661.5,0,0,0,42,235,841
CompilationBenchmarksBigNightly,tictactoe,150,1,1170 1157 1156 1154 1155 1155 1154 1154 1156 1322 1183 1153 1169 1152 1138 1138 1138 1138 1139 1138,220.7,220.7,220.7,0,0,0,66,256.8,1329
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,779.6 779.8 784.3 778.7 780.3 778.1 777.8 776 777.9 777.6 777.6 776.7 777.4 777 776.7 776.4 776.5 775.8 776.9 776.2,142.8,142.8,142.8,0,0,0,0,52.8,208
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1594 1586 1587 1585 1586 1584 1584 1582 1583 1582 1581 1580 1581 1583 1580 1580 1580 1579 1578 1578,241.3,241.3,241.4,0,0,0,18,163.8,471
CompilationBenchmarksBigWeekly,scalaz,60,1,29050 28323 28231 27912 27713 27859 27775 27613 28082 28191 28700 28403 28445 27776 27697 28185 27765 27706 27584 27967,4080,4085,4091,2,2.8,3,13,191.1,950
CompilationBenchmarksSmallNightly,helloWorld,150,1,126.6 128.1 127 127.3 127 127.5 126.7 127.5 126 128.6 127.5 126.9 125.1 126.3 126.9 126.7 126.2 125.7 126.9 126.8,36.95,36.95,36.96,0,0,0,0,23.45,79
CompilationBenchmarksSmallNightly,implicitInductive,150,1,868.2 867.4 868.1 867 867.4 869.9 869.1 867 866.8 867.3 865.7 867.2 865.8 867.1 865.7 866.4 865.9 864.9 867.3 866.9,69.28,69.29,69.3,0,0,0,1,57.9,202
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,573.8 575.3 575.4 574.9 571.9 574.2 575.5 573.3 572.7 573.7 574.3 572.9 573.4 573.4 572.4 573 572.4 572.8 573.2 569.4,107.5,107.5,107.5,0,0,0,0,62.2,177
