suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27908 27778 26720 26601 26627 27644 27902 27423 26718 27227 28390 27709 27520 27718 26925 27552 27889 27381 27216 27849,4400,4400,4407,0,0,0,913,1060,1407
CompilationBenchmarksBigNightly,caskApp,150,1,572.5 574.7 573.6 573.4 573.5 572.6 572.4 572.6 570.9 573 570.5 571.7 567.9 567.9 568.7 571.3 567 569.3 568.8 570.7,131.2,131.2,131.2,0,0,0,6,117.5,335
CompilationBenchmarksBigNightly,dottyUtils,170,1,1103 1100 1101 1102 1102 1099 1103 1103 1100 1105 1099 1098 1100 1103 1100 1100 1099 1097 1114 1109,171.5,171.5,171.5,0,0,0,0,83.55,468
CompilationBenchmarksBigNightly,fansi,150,1,1349 1301 1300 1298 1300 1297 1296 1301 1299 1296 1299 1296 1295 1294 1294 1295 1298 1302 1299 1293,204.5,204.5,204.5,0,0,0,335,451.4,820
CompilationBenchmarksBigNightly,parallelCollections,100,1,4568 4570 4564 4569 4566 4566 4566 4569 4564 4571 4574 4566 4563 4563 4561 4561 4566 4564 4561 4562,616.3,616.3,616.3,0,0,0,2,90.05,266
CompilationBenchmarksBigNightly,re2s,120,1,1807 1807 1818 1807 1805 1808 1806 1818 1811 1806 1806 1806 1804 1804 1802 1803 1799 1800 1800 1799,266.6,266.7,266.8,0,0,0,2,176.3,885
CompilationBenchmarksBigNightly,scalaToday,150,1,3434 3447 3467 3467 3349 3343 3346 3346 3344 3346 3343 3346 3343 3343 3345 3345 3378 3378 3376 3376,537.6,537.7,538,0,0,0,24,157.9,471
CompilationBenchmarksBigNightly,scalaYaml,80,1,4519 4502 4466 4630 4780 4489 4573 4740 4849 4641 4517 4558 4626 4514 4476 4471 4542 4742 4703 4536,582.4,582.6,582.8,0,0,0,13,197.2,685
CompilationBenchmarksBigNightly,sourcecode,170,1,921.2 946.1 921.5 920.9 919.8 917.3 920 919.7 919.4 918.7 918.3 918.4 927.1 922.8 917.1 917.6 918.1 917.2 917.1 917.1,177.9,178,178.1,0,0,0,0,87.35,411
CompilationBenchmarksBigNightly,tastyQuery,60,1,5084 5081 5082 5088 5085 5077 5078 5076 5078 5074 5073 5167 5072 5247 5256 5261 5280 5187 5142 5231,677.3,677.4,677.5,0,0,0,23,209.4,787
CompilationBenchmarksBigNightly,tictactoe,150,1,1143 1145 1143 1143 1143 1141 1141 1142 1238 1203 1144 1141 1140 1140 1139 1138 1140 1137 1138 1138,250.7,250.7,250.7,0,0,0,91,225.3,886
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,774.8 778.1 778.7 780.6 774.6 773.7 775.4 775.2 772.9 772.6 776.6 773.5 772.8 772.7 771.6 773 770.9 775.3 771.9 772.1,152,152,152,0,0,0,0,73.2,192
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1622 1615 1566 1563 1570 1571 1561 1578 1565 1561 1559 1561 1563 1564 1564 1563 1558 1556 1556 1557,251.9,252,252.1,0,0,0,19,166.8,497
CompilationBenchmarksBigWeekly,scalaz,60,1,28662 28336 28551 28310 28296 29021 29159 28078 28100 28297 28407 28691 28455 28265 28098 28551 29843 28400 28132 28270,4107,4110,4116,2,2.85,3,43,209.3,885
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.1 125.3 125.1 124.4 124.3 124.4 124.6 124.9 125.1 124.6 124.3 124.3 124.5 124.6 124.6 124.2 124.2 124.9 123.6 123.7,40.27,40.27,40.27,0,0,0,0,22.55,64
CompilationBenchmarksSmallNightly,implicitInductive,150,1,880.8 880.7 880.5 880.2 880.5 879.7 880 880 878.6 880.1 878.9 880 878.4 879.9 878.9 879.4 879 876.4 879.4 879.8,77.27,77.28,77.29,0,0,0,2,59.75,178
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,592.1 590.5 591.9 591.3 593.1 592.4 598.6 596.2 596.1 596.7 594.6 594.8 593 596.1 595.2 595.2 594 591.6 595 594.1,115,115,115,0,0,0,1,57.75,165
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,352 365.4 352.2 354.4 350.7 348.2 347.3 346.9 348.5 347.1 346.4 346.5 347.1 345.8 346.5 346.4 346.3 354.2 346.3 345,81,81.02,81.23,0,0,0,3,105.3,598
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,248.2 246.7 246.6 246.8 246.3 246.9 247.1 245.8 247.5 248.5 247.2 246.3 247.1 247.4 245.3 248.4 248.7 245.4 246.1 243.2,69.42,69.44,69.46,0,0,0,0,68.9,407
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,157.4 158.1 157.6 157.6 157.9 159.4 158.4 158.7 157 157 158.1 156.7 156.8 157.4 157.2 156.8 156.9 156.4 157 156.7,50.32,50.32,50.32,0,0,0,0,30.85,108
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,153.9 153.6 154.1 152.7 157.9 153.3 153 152.9 153.3 152.7 153.6 153.1 153.1 153.3 152.1 152.3 152.2 153.7 152.4 151.4,45.15,45.16,45.17,0,0,0,1,26.3,119
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,149.9 151.7 150.8 150.4 151.3 150.4 150.7 149.9 150.8 150.3 150.2 150.2 148.8 150.2 148.7 149.4 149.2 147.7 150 148.9,45.26,45.27,45.27,0,0,0,0,27.8,109
CompilationBenchmarksSmallWeekly,findRef,150,1,118.6 117.6 116.9 118.2 116 118.1 117.7 116.9 117.1 116.9 117.2 116.9 117.4 119 118.2 118.2 118.7 119.5 118.2 117.4,35.38,35.38,35.38,0,0,0,2,30.15,106
CompilationBenchmarksSmallWeekly,i1535,150,1,191.2 194 193.2 191.2 193.5 190.5 189.1 193.1 191.4 192.7 189.3 192.9 198.1 193.6 192.3 192 222.2 188.4 189.3 189.2,53.17,53.18,53.18,0,0,0,3,49.45,230
CompilationBenchmarksSmallWeekly,i1687,150,1,118 118.6 118 118.1 118.2 118 117.5 117.9 118.5 118.6 117.7 117.7 116.7 117 117.4 117.2 116.3 116.4 122.7 118.3,38.32,38.32,38.32,0,0,0,1,20.9,69
CompilationBenchmarksSmallWeekly,implicitCache,150,1,170.6 171.9 170.8 171.2 171.6 171.5 171.4 171.5 170.2 171.6 171.3 171.2 170.8 170.7 170.2 170.4 170.9 168.2 171 171,52.97,52.97,52.97,0,0,0,0,24.95,113
CompilationBenchmarksSmallWeekly,implicitNums,150,1,365.2 365.8 364.1 364.5 365.1 364.3 364.7 364.4 365.5 363.7 364.8 364.1 363.3 362.9 363.2 363.1 363.2 364.6 362.7 363,95.18,95.19,95.19,0,0,0,0,28.4,163
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,185.1 185.5 185.1 185.9 184.3 185.4 186.7 184.7 183.5 184.5 187.4 184.5 184.3 184.7 184.9 183.9 184 181.7 184.5 184.3,53.49,53.49,53.5,0,0,0,0,20.1,116
CompilationBenchmarksSmallWeekly,tuple,150,1,204.2 203.5 225.4 203.9 195.1 190.6 192.1 191.3 194.7 193.4 192.8 193 193.6 192.7 193.4 192.2 192.8 194.7 194.4 192.6,55.4,55.41,55.41,0,0,0,0,31.05,120
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,150.3 151 150.5 157.8 154.8 149.6 148.8 150.7 149.6 150.5 149.2 150.2 150.2 149.8 150.1 149.8 149.7 148 149.6 149.6,45.08,45.08,45.08,0,0,0,0,24.45,96
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,187.8 189.7 182.5 188.8 186.7 177.1 178.6 187.6 187.7 187.8 178.2 178.1 179.1 178.2 177.4 177.6 178.3 178.1 185 176.2,51.36,51.37,51.37,0,0,0,1,26.4,102
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,123.2 135.7 120.2 120.4 120 119.6 120.4 119.8 119.8 120.1 119.5 119.6 120.1 119.3 119.3 119.1 119.6 120.7 119.8 119.3,38.37,38.37,38.38,0,0,0,0,28.05,110
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,141.6 142.6 137.7 137.5 148.1 145.7 146.2 145.7 138 143.6 139.3 146.7 141.2 145.5 137 137.9 135.4 136.3 138.1 136,42.84,42.84,42.85,0,0,0,0,29.5,101
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,174.5 174.9 173 174.9 174.2 174.5 173.8 174.4 172.7 174.7 174.1 174.3 174 172.8 173.9 173.9 173.2 172.5 173.2 173.4,52.57,52.57,52.58,0,0,0,3,38.15,123
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,122.9 123.5 122.1 123.4 130.1 131.6 130.6 126.3 123.6 130.9 131.3 130.9 123.4 127.7 120.8 129.4 129 121 122.3 131.1,40.52,40.52,40.53,0,0,0,0,22.7,95
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5054 5055 5055 5062 5058 5052 5055 5051 5051 5047 5048 5048 5046 5046 5056 5049 5131 5258 5150 5073,670.7,670.9,671,0,0,0,32,203.9,682
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.52 21.51 21.47 21.68 21.48 21.56 21.48 21.5 21.48 21.57,4.439,4.439,4.439,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.13 15.21 15.15 15.12 15.17 15.12 15.16 15.14 15.11 15.15,16.82,16.82,16.82,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.42 29.41 29.35 29.41 29.37 30.21 29.45 27.78 27.66 27.66 27.62 27.66 27.64 27.67 27.68 27.64 27.63 27.66 27.68 27.66,36.4,36.44,36.52,0,0,0,0,0.65,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.13 22.94 22.93 22.95 22.78 22.63 22.64 22.64 22.65 22.66,15.8,15.81,15.83,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,242.7 140.8 140.4 140 139.2 139.9 139.6 143.3 145.7 141 140.3 140.8 140.8 139.6 140.5 140.5 140.3 140.4 141.4 139.7,490.4,490.4,490.4,0,0,0,0,0.55,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.69 14.64 14.78 14.99 14.76 14.65 14.65 14.69 14.61 14.63,16.53,16.53,16.53,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,99.19 99.45 99.01 98.83 99.27 98.9 99.04 98.75 98.74 107.3 98.78 98.84 98.82 98.83 98.94 98.8 99.18 98.83 98.72 98.52,23.26,23.26,23.26,0,0,0,0,1.55,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,69.61 69.74 69.67 70.31 69.8 69.89 69.84 69.61 69.74 69.77,0.7268,0.7268,0.7268,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.8,0.006784,0.006784,0.006784,0,0,0,0,0.65,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,410.8 407.1 407.2 407.8 412 407.4 416.1 416.1 407.3 410.3,60.01,60.01,60.01,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,75.43 75.41 75.47 75.72 75.41 75.44 75.46 75.45 75.42 75.44,134.1,134.1,134.1,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.8 29.51 29.67 29.62 29.62 29.48 29.61 29.45 29.57 29.38,1.367,1.367,1.367,0,0,0,0,1,4
