suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26048 27067 27418 26982 27261 27204 27117 26705 27057 27094 26033 26787 27084 26993 27146 27295 26613 26001 26901 27208,4395,4396,4396,0,0,0,950,1097,1388
CompilationBenchmarksBigNightly,caskApp,150,1,577.4 573.3 572.7 573.8 572.2 573.4 573.1 572 575 573.1 573.1 571.4 574.5 573.2 597.3 614.3 576.5 573.2 572.3 571,130.3,130.3,130.3,0,0,0,7,144.3,391
CompilationBenchmarksBigNightly,dottyUtils,170,1,1122 1115 1122 1123 1123 1119 1135 1127 1122 1133 1123 1121 1122 1126 1122 1108 1114 1121 1145 1251,171.5,171.6,171.6,0,0,0,0,109.4,988
CompilationBenchmarksBigNightly,fansi,150,1,1285 1284 1285 1377 1330 1299 1317 1324 1317 1323 1324 1313 1276 1270 1272 1272 1273 1278 1272 1269,204,204.1,204.1,0,0,0,301,388.3,713
CompilationBenchmarksBigNightly,parallelCollections,100,1,4620 4619 4621 4618 4633 4619 4618 4618 4618 4618 4618 4674 4846 4736 4802 4707 4672 4737 4732 4727,616.3,616.3,616.3,0,0,0,6,89.7,297
CompilationBenchmarksBigNightly,re2s,120,1,1844 1833 1845 1834 1837 1842 1819 1844 1844 1827 1824 1836 1820 1823 1858 1822 1824 1839 1822 1822,267.7,267.8,267.8,0,0,0,0,189.4,1092
CompilationBenchmarksBigNightly,scalaToday,150,1,3393 3443 3335 3364 3459 3332 3337 3338 3337 3349 3334 3330 3327 3328 3329 3327 3329 3328 3327 3325,534.8,534.8,535.2,0,0,0,22,117.8,418
CompilationBenchmarksBigNightly,scalaYaml,80,1,4522 4546 4513 4514 4527 4521 4508 4512 4512 4510 4510 4512 4559 4560 4560 4559 4567 4563 4557 4564,583.6,583.7,584,0,0,0,15,183.8,668
CompilationBenchmarksBigNightly,sourcecode,170,1,937.3 942.1 938.6 938.7 937.1 937.5 937.7 942.2 936.6 934.4 934.4 933.9 929.6 937.7 933.2 932.3 933.3 921.5 923.7 919.3,177.3,177.3,177.4,0,0,0,0,86,445
CompilationBenchmarksBigNightly,tastyQuery,60,1,5085 5083 5084 5145 5089 5081 5080 5094 5080 5075 5073 5073 5074 5074 5075 5074 5071 5169 5066 5277,673.4,673.4,673.6,0,0,0,11,228.8,838
CompilationBenchmarksBigNightly,tictactoe,150,1,1200 1203 1200 1199 1203 1199 1201 1200 1195 1199 1198 1199 1200 1198 1193 1191 1168 1132 1148 1124,250.6,250.6,250.6,0,0,0,87,250.7,1059
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,779.4 779.5 778.1 779.7 778.4 778.4 777 777.3 777.6 777.8 776.7 834.9 844.1 780.6 777.4 776.5 776.5 775.8 777.1 776.1,151.8,151.8,151.8,0,0,0,5,62.05,177
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1552 1552 1553 1550 1550 1550 1549 1548 1549 1549 1549 1547 1548 1547 1547 1554 1549 1546 1546 1546,252,252,252.1,0,0,0,11,140.9,540
CompilationBenchmarksBigWeekly,scalaz,60,1,28559 29869 29197 28821 28820 28880 28519 28318 28143 28036 28100 30647 28682 28306 28596 29880 28348 28139 28687 29673,4096,4100,4104,2,2.85,3,44,210.4,814
