suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26744 26739 26684 26672 26658 26881 27369 26824 27215 26902 26839 26868 26888 26935 26862 26910 27176 27481 26739 26696,4467,4469,4469,0,0,0,951,1102,1399
CompilationBenchmarksBigNightly,caskApp,150,1,627.4 655.8 645.6 650.7 644.2 644.1 619 650.9 644.2 650.9 621.1 652.2 631.3 642.5 623.7 622.3 617.5 611 621.7 613.8,151.3,151.3,151.3,0,0,0,2,103.1,412
CompilationBenchmarksBigNightly,dottyUtils,170,1,1139 1141 1138 1139 1138 1138 1138 1139 1137 1145 1137 1137 1148 1151 1149 1149 1148 1149 1148 1150,199.3,199.3,199.3,0,0,0,0,66.9,329
CompilationBenchmarksBigNightly,fansi,150,1,1395 1393 1393 1393 1393 1393 1388 1390 1388 1390 1390 1389 1393 1391 1389 1389 1388 1387 1388 1389,234.5,234.6,234.7,0,0,0,366,467,818
CompilationBenchmarksBigNightly,parallelCollections,100,1,4712 4685 4685 4685 4685 4684 4694 4686 4683 4686 4685 4685 4683 4684 4685 4840 4796 5021 4812 4878,672.9,672.9,672.9,0,0,0,0,82.85,290
CompilationBenchmarksBigNightly,re2s,120,1,1894 1896 1896 1897 1896 1895 1895 1907 1899 1896 1893 1892 1893 1891 1890 1893 1890 1887 1890 1888,327,327.1,327.2,0,0,0,9,156.3,565
CompilationBenchmarksBigNightly,scalaToday,150,1,3466 3466 3467 3466 3466 3463 3463 3464 3464 3465 3464 3464 3463 3462 3463 3462 3463 3499 3503 3499,582.6,582.7,583,0,0,0,11,140.4,403
CompilationBenchmarksBigNightly,scalaYaml,80,1,4596 4592 4591 4623 4588 4626 4588 4588 4585 4585 4583 4592 4588 4583 4584 4582 4588 4639 4637 4639,631,631.1,631.4,0,0,0,15,178.8,764
CompilationBenchmarksBigNightly,sourcecode,170,1,960 961.9 957.3 955.5 956.3 956.6 956.8 960.3 989.9 1013 981.4 1015 1021 992.1 992.2 1019 1018 1007 1021 1022,200.5,200.5,200.7,0,0,0,1,80.8,423
CompilationBenchmarksBigNightly,tastyQuery,60,1,5303 5304 5301 5309 5307 5302 5299 5295 5491 5666 5316 5289 5287 5289 5287 5296 5286 5285 5281 5470,746.3,746.3,746.4,0,0,0,32,177.8,620
CompilationBenchmarksBigNightly,tictactoe,150,1,1341 1356 1327 1380 1550 1402 1280 1329 1366 1526 1328 1304 1282 1313 1499 1461 1272 1282 1303 1262,301.7,301.8,301.8,0,0,0,64,210,701
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,837.1 837.8 836.8 836.6 836.1 836.1 845.2 869.7 978.7 871 872.8 866.8 867.9 866.6 878.7 861.1 875.2 866.6 875 859.9,180.1,180.1,180.1,0,0,0,4,53.05,174
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1607 1615 1610 1608 1615 1612 1609 1622 1617 1691 1672 1692 1682 1645 1704 1661 1681 1658 1659 1668,281.9,282,282.1,0,0,0,16,184.2,554
CompilationBenchmarksBigWeekly,scalaz,60,1,28258 28230 28214 28257 28005 27701 28531 28367 28365 29980 28394 28263 27941 28168 27979 28079 28055 27939 28689 29138,4244,4247,4251,2,2.8,3,36,232.4,874
