suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,20392 20391 20445 21461 20478 20426 20398 20443 20423 20436 20438 20491 20552 20806 20688 20813 20692 21855 20897 20626,3369,3371,3373,0,0,0,911,1058,1475
CompilationBenchmarksBigNightly,caskApp,150,1,460.5 460.9 461.1 460.9 460 459.4 463.6 495 484.8 483 466.3 458.7 457.8 458 455.8 458.7 457.1 457.6 456.9 456.9,97.14,97.17,97.19,0,0,0,2,99.05,433
CompilationBenchmarksBigNightly,dottyUtils,170,1,979.9 979 976.7 978.7 976.5 973.8 977.5 982.4 976 978 976 976.4 976.7 989.4 981.9 977 975.1 974.5 999 972.3,141.9,141.9,142,0,0,0,0,72.5,363
CompilationBenchmarksBigNightly,fansi,150,1,894.6 887.1 891.1 890.1 890.1 886.1 890 889.7 899 886.4 889.3 887.5 891.6 888.3 890.3 885.8 889.3 923.4 922.8 886.3,141,141,141.1,0,0,0,433,561.4,856
CompilationBenchmarksBigNightly,parallelCollections,100,1,4199 4197 4201 4201 4200 4198 4199 4202 4202 4198 4193 4200 4200 4191 4198 4199 4196 4199 4194 4194,540.9,541.2,541.8,0,0,0,2,84.5,218
CompilationBenchmarksBigNightly,re2s,120,1,1582 1562 1562 1563 1577 1562 1556 1561 1547 1544 1542 1541 1541 1540 1536 1537 1537 1533 1537 1536,243.6,243.7,243.9,0,0,0,2,167.3,739
CompilationBenchmarksBigNightly,scalaToday,150,1,2498 2498 2496 2500 2497 2495 2495 2496 2498 2497 2495 2496 2496 2495 2495 2497 2495 2495 2654 2576,399.9,400.1,400.2,0,0,0,15,73,239
CompilationBenchmarksBigNightly,scalaYaml,80,1,3979 3960 4004 3999 3830 3786 3786 3783 3778 3790 3783 3779 4016 3888 3807 3791 3788 3787 3982 3908,485.3,485.3,485.4,0,0,0,14,167.2,583
CompilationBenchmarksBigNightly,sourcecode,170,1,801.2 798.4 802.2 801.2 801.8 801.2 799.5 800.3 801.1 798.5 797.8 798.7 796.5 800.8 798 798.2 798 798 798.9 798,139.2,139.3,139.3,0,0,0,1,73.35,383
CompilationBenchmarksBigNightly,tastyQuery,60,1,4471 4473 4472 4428 4420 4416 4413 4417 4410 4409 4411 4410 4409 4408 4409 4407 4407 4412 4411 4428,582.2,582.2,582.2,0,0,0,36,241.4,1143
CompilationBenchmarksBigNightly,tictactoe,150,1,958.9 958.9 957.7 966.6 968 963.6 1027 1003 1030 1034 990.8 996 1028 1001 1024 1030 956.3 948.6 952.9 970.6,187.2,187.2,187.2,0,0,0,2,208,1055
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,716 715.8 715.4 719.2 717.1 720 714.9 716.7 712.8 711.3 713.8 711.7 713.2 714 711 723.2 715.5 717.9 712.6 710.1,117.8,117.8,117.8,0,0,0,5,72.25,191
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1399 1402 1413 1399 1435 1422 1434 1425 1428 1416 1425 1418 1406 1393 1414 1419 1432 1392 1400 1392,213.1,213.2,213.2,0,0,0,15,150.8,601
CompilationBenchmarksBigWeekly,scalaz,60,1,25475 25496 25461 25562 26460 26449 25674 25572 25544 25675 25523 25408 25431 25550 25861 26476 26802 25474 25528 25497,3524,3526,3529,2,2,2,10,203.8,987
CompilationBenchmarksSmallNightly,helloWorld,150,1,97.88 95.39 95.86 99.37 96.56 95.78 96.05 96.29 96.38 98.77 97.02 95.76 95.03 96.56 95.75 96.26 95.09 95.82 96.3 96.01,27.93,27.98,28.02,0,0,0,1,16.6,69
CompilationBenchmarksSmallNightly,implicitInductive,150,1,842.6 853 845.4 844 865.8 855.9 847.5 845.3 843.5 844.6 843.9 844.7 846.1 846 844.9 844.6 846.7 843.2 851.6 843.4,60.44,60.44,60.45,0,0,0,0,62.3,210
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,520.1 519.6 519.8 515.6 519.8 515.6 514.5 517.2 514.1 516.2 514.7 515.7 511.6 515 514.8 515.1 511.9 509.9 512.5 514.1,90.67,90.68,90.69,0,0,0,0,49.9,126
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,312.9 328.9 311.3 306.2 310.2 308.4 307.8 308.4 306.5 308.2 305.5 307 306.4 314.6 310 306 310.4 304.3 303.2 307.5,63.13,63.14,63.33,0,0,0,0,77.65,460
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,213.4 213.8 213.6 213.9 213.3 214.1 213.8 212.5 215.2 218.4 216.7 241.7 233.4 218.9 213.4 216.1 220.9 228.8 221.8 219,52.41,52.44,52.45,0,0,0,0,64.9,448
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,135.5 134.4 134.6 135.2 133.5 133.9 133.3 133.6 134 134.1 133.1 134.9 132.8 132.7 135.5 132.5 132 134.1 131.7 132.8,37.8,37.84,37.88,0,0,0,2,27.8,61
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,121.6 120.8 121.3 119.5 120.1 120.4 119.6 121.7 121.2 120.8 119.1 120.3 120.9 119.6 119.2 118.6 118.8 121.2 119 119.6,32.92,32.95,32.98,0,0,0,1,24.65,119
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,120.2 121.2 119.5 121.2 121.2 121 119 119.5 120.2 119.7 120.3 120.2 119 119.6 119 118.8 117.3 119.7 118 118.7,33.19,33.23,33.26,0,0,0,1,31.5,148
CompilationBenchmarksSmallWeekly,findRef,150,1,99.3 98.36 99.2 100.1 98.98 98.62 96.67 97.16 98.14 98.39 96.29 97.63 97.6 96.36 98.63 97.75 96.48 99.29 96.61 97.35,27.37,27.4,27.44,0,0,0,0,17.85,80
CompilationBenchmarksSmallWeekly,i1535,150,1,172.6 170 169.8 168.3 169.1 168.5 170.9 167 165.2 168.5 169.5 168.7 168.1 167.5 166.4 166.9 172.8 175.9 165.9 164.1,41.12,41.13,41.14,0,0,0,0,44.15,157
