suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27342 27293 27300 27217 27505 27802 27905 27577 27541 27439,4557,4557,4557,0,0,0,862,1009,1179
CompilationBenchmarksBigNightly,caskApp,150,1,562.3 557.5 556.5 553.3 546.5 553.4 559.6 557 560.2 584.2,134.8,134.8,134.8,0,0,0,1,84.7,256
CompilationBenchmarksBigNightly,dottyUtils,170,1,1106 1109 1109 1108 1108 1107 1111 1110 1105 1110,181.8,181.8,181.8,0,0,0,2,72.7,144
CompilationBenchmarksBigNightly,fansi,150,1,1331 1332 1327 1334 1325 1334 1328 1331 1353 1343,227.1,227.1,227.1,0,0,0,306,416,552
CompilationBenchmarksBigNightly,parallelCollections,100,1,4604 4609 4604 4606 4605 4604 4603 4606 4602 4608,658.9,658.9,658.9,0,0,0,10,83.4,240
CompilationBenchmarksBigNightly,re2s,120,1,1851 1942 1938 1860 1861 1867 1873 1872 1862 1825,303.9,303.9,304.1,0,0,0,17,147.1,422
CompilationBenchmarksBigNightly,scalaToday,150,1,3352 3354 3353 3352 3352 3350 3353 3351 3352 3351,559.8,559.9,559.9,0,0,0,30,111.5,325
CompilationBenchmarksBigNightly,scalaYaml,80,1,4508 4514 4507 4558 4575 4682 4672 4668 4552 4560,621.1,621.1,621.2,0,0,0,94,222,512
CompilationBenchmarksBigNightly,sourcecode,170,1,945.7 927.7 922.3 923.1 920.8 921.8 921.8 925.2 1034 920.1,184,184,184.1,0,0,0,0,104.7,397
CompilationBenchmarksBigNightly,tastyQuery,60,1,5238 5237 5241 5244 5242 5233 5233 5235 5233 5246,728.5,728.5,728.6,0,0,0,70,213.5,535
CompilationBenchmarksBigNightly,tictactoe,150,1,1148 1148 1147 1148 1145 1147 1143 1144 1151 1144,263.1,263.1,263.1,0,0,0,86,181.7,401
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1174 1172 1171 1176 1170 1244 1343 1182 1187 1223,401,401.1,401.2,0,0,0,2,114,288
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1942 1742 1576 1561 1568 1565 1559 1576 1561 1560,264.1,264.1,264.1,0,0,0,4,185.8,457
CompilationBenchmarksBigWeekly,scalaz,60,1,29682 29701 28656 28328 28325 28318 28738 29294 28755 28399,4263,4263,4263,0,0,0,17,223.4,663
CompilationBenchmarksSmallNightly,helloWorld,150,1,113.9 115 114.5 114.6 113.7 114.4 113.8 114.5 113.8 114.9,38.68,38.68,38.68,0,0,0,2,20.6,48
CompilationBenchmarksSmallNightly,implicitInductive,150,1,871.7 871.8 871.9 871.4 871.3 871.4 871.4 895.9 886.9 881.9,79.79,79.8,79.8,0,0,0,8,52.6,129
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,587.1 585.7 579.7 578.3 581.3 578.9 577.1 579.4 580 579.2,115,115,115,0,0,0,11,51.5,150
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,358 358.2 363.7 370.9 359.3 352.7 353.1 351.9 356.8 351.8,81.77,81.78,81.81,0,0,0,19,148.3,462
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,243.9 244.3 242.3 242.7 241.8 243 314.7 254.1 240.9 266.9,69.35,69.35,69.35,0,0,0,2,50.7,195
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,153.6 153.8 152.8 153.9 153.1 153.2 154 157.2 154.4 155,48.95,48.95,48.95,0,0,0,2,35.3,111
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,138.2 137.6 137.3 136.9 137.1 136.3 136.4 136.7 140.1 138.7,43.95,43.95,43.95,0,0,0,1,19.9,49
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,140.3 141.4 140.3 139.7 140.3 140.3 140.3 139.5 139.9 140.2,44.07,44.07,44.08,0,0,0,0,24,59
CompilationBenchmarksSmallWeekly,findRef,150,1,106.4 105.3 104.7 104.9 105.9 105.1 105.5 104.6 104.6 104.3,33.72,33.72,33.72,0,0,0,7,27.1,91
