suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,26941 26729 26724 27489 28011 27778 28556 28140 27173 27068,4574,4575,4575,0,0,0,932,1037,1195
CompilationBenchmarksBigNightly,caskApp,150,1,564.2 559.7 558.9 560.7 560.3 560.3 553.8 559 562.6 561.5,135,135,135,0,0,0,8,94.5,219
CompilationBenchmarksBigNightly,dottyUtils,170,1,1111 1113 1111 1110 1110 1108 1113 1112 1110 1112,181.7,181.7,181.7,0,0,0,1,76.2,191
CompilationBenchmarksBigNightly,fansi,150,1,1287 1289 1289 1288 1289 1287 1303 1299 1298 1305,214.5,214.5,214.6,0,0,0,319,399.8,497
CompilationBenchmarksBigNightly,parallelCollections,100,1,4830 4670 4762 4742 4674 4668 4691 4676 4667 4669,659.4,659.4,659.5,0,0,0,6,84.3,243
CompilationBenchmarksBigNightly,re2s,120,1,1878 1879 1880 1881 1879 1879 1877 1889 1884 1876,304.5,304.5,304.6,0,0,0,11,145.6,398
CompilationBenchmarksBigNightly,scalaToday,150,1,3379 3401 3383 3382 3379 3377 3565 3608 3385 3381,567.7,567.8,567.8,0,0,0,21,145.8,322
CompilationBenchmarksBigNightly,scalaYaml,80,1,4588 4591 4582 4588 4595 4594 4588 4620 4717 4722,618.5,618.5,618.6,0,0,0,98,223.6,467
CompilationBenchmarksBigNightly,sourcecode,170,1,954.8 945.8 916.3 917.8 913.3 913.4 915.6 916.4 913.9 913.2,184,184,184,0,0,0,1,117.8,333
CompilationBenchmarksBigNightly,tastyQuery,60,1,5104 5138 5262 5359 5208 5147 5130 5127 5127 5128,732.3,732.3,732.3,0,0,0,29,231.1,569
CompilationBenchmarksBigNightly,tictactoe,150,1,1132 1131 1130 1131 1130 1130 1119 1119 1122 1120,261.3,261.3,261.3,0,0,0,6,127.4,345
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1195 1195 1195 1194 1194 1193 1194 1191 1194 1193,401.7,401.7,401.8,0,0,0,0,64,168
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1586 1580 1573 1587 1568 1544 1547 1543 1544 1543,265.7,265.8,265.8,0,0,0,8,178.5,495
CompilationBenchmarksBigWeekly,scalaz,60,1,28681 29446 28645 28006 28284 29084 29044 28226 29250 29703,4182,4182,4182,0,0,0,31,280.6,878
CompilationBenchmarksSmallNightly,helloWorld,150,1,114.6 115.7 115.1 114.5 115 134 114.5 115.1 114.8 115.4,38.71,38.71,38.71,0,0,0,1,16.2,43
CompilationBenchmarksSmallNightly,implicitInductive,150,1,921.6 922.8 922.5 922.2 920.8 922.6 920.5 920.5 924.2 922.3,76.93,76.94,76.94,0,0,0,3,65.9,168
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,575.7 573.5 572.6 581 574.4 572.4 574.4 572.6 573.5 573.8,115.9,115.9,115.9,0,0,0,12,64.2,143
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,342.7 354.1 339.8 344.6 341.9 337.2 337.2 337 339.1 336.5,81.91,81.95,82.12,0,0,0,13,164,700
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,238.4 241.2 240.2 240.6 240.5 240.2 240.5 239.5 240.1 241.5,69.38,69.39,69.39,0,0,0,1,47.5,167
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,152.5 152.5 151.7 153.1 151.7 152.6 152.4 152.6 152.4 153.1,49.04,49.04,49.04,0,0,0,2,29.7,110
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.3 148.7 150.2 149.5 149.2 148.2 148.5 149.7 146 150.5,44.05,44.06,44.06,0,0,0,1,31.4,112
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,140.8 140.6 140.3 141.6 140.3 139.4 140.3 140.4 140.2 140.9,44.17,44.17,44.17,0,0,0,0,21.6,45
CompilationBenchmarksSmallWeekly,findRef,150,1,110.8 111.2 109.7 109.2 112.7 113.1 109.6 110.2 109.1 110.5,34.78,34.78,34.78,0,0,0,7,26.8,59
CompilationBenchmarksSmallWeekly,i1535,150,1,180 180.2 179.6 181 181 180.4 180.4 179.7 179.8 181.6,52.97,52.98,52.98,0,0,0,15,59.1,117
CompilationBenchmarksSmallWeekly,i1687,150,1,111.7 113.1 112.3 111.8 112.1 112.5 111.8 112 111.8 112.7,36.48,36.48,36.48,0,0,0,1,16.9,34
CompilationBenchmarksSmallWeekly,implicitCache,150,1,136.4 137.3 136.8 136.9 136.9 136.1 136.5 136.5 135.9 136.4,44.12,44.12,44.13,0,0,0,1,19.9,62
CompilationBenchmarksSmallWeekly,implicitNums,150,1,345.9 345 344.6 344.7 344.3 344.1 344.8 344.5 343.3 344.5,92.74,92.74,92.75,0,0,0,1,23.8,158
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,142.3 142.1 142.8 141.8 141.6 140.8 142.3 141.7 142.2 142.4,44.6,44.6,44.61,0,0,0,0,20.7,41
CompilationBenchmarksSmallWeekly,tuple,150,1,180.5 180.1 180 182.3 180 179.2 179 179.3 180.4 177.4,55.39,55.39,55.4,0,0,0,8,24,56
