suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,27351 27598 26774 27505 27677 27953 28037 28086 27496 27500,4569,4570,4576,0,0,0,1027,1267,1609
CompilationBenchmarksBigNightly,caskApp,130,1,593.9 582.2 587.7 593.5 596.5 577.3 571.5 594.7 593 583.2,134.6,134.6,134.6,0,0,0,36,135.1,353
CompilationBenchmarksBigNightly,dottyUtils,170,1,1073 1074 1074 1073 1073 1077 1076 1075 1072 1076,180.3,180.3,180.4,0,0,0,5,70.3,144
CompilationBenchmarksBigNightly,fansi,140,1,1398 1542 1457 1399 1397 1399 1396 1397 1397 1390,236.3,236.3,236.4,0,0,0,376,492.4,615
CompilationBenchmarksBigNightly,parallelCollections,100,1,4484 4488 4481 4485 4483 4483 4483 4485 4481 4487,634.5,634.5,634.5,0,0,0,7,95.2,263
CompilationBenchmarksBigNightly,re2s,60,1,1905 1891 1887 1888 1889 1901 1898 1904 1890 1862,294.9,294.9,294.9,0,0,0,72,188.8,447
CompilationBenchmarksBigNightly,scalaToday,130,1,3531 3745 3575 3396 3398 3398 3392 3399 3394 3393,580.5,580.5,580.5,0,0,0,35,204.4,452
CompilationBenchmarksBigNightly,scalaYaml,40,1,4559 4748 4820 4516 4505 4521 4518 4524 4516 4507,611.5,612,612.2,0,0,0,147,465.7,689
CompilationBenchmarksBigNightly,sourcecode,100,1,928.5 926.9 926.4 926 926.7 926.3 925.3 926.3 923.2 923.9,185,185,185,0,0,0,17,123.5,438
CompilationBenchmarksBigNightly,tastyQuery,60,1,5222 5194 5195 5208 5202 5193 5190 5201 5192 5191,726,726,726.1,0,0,0,10,217,584
CompilationBenchmarksBigNightly,tictactoe,130,1,1143 1148 1142 1148 1146 1138 1138 1141 1138 1137,263.2,263.2,263.2,0,0,0,96,252.7,499
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1175 1176 1175 1239 1323 1180 1173 1173 1178 1187,401,401.1,401.2,0,0,0,3,85.2,249
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1496 1475 1475 1473 1474 1472 1650 1475 1470 1472,248.9,248.9,248.9,0,0,0,17,167.1,414
CompilationBenchmarksBigWeekly,scalaz,25,1,25052 25862 26025 25198 25141 25246 25189 25302 25273 25825,3728,3739,3745,2,2.2,3,119,430.4,812
CompilationBenchmarksSmallNightly,helloWorld,150,1,116.9 112 111.6 111.6 111.6 111.3 113.6 111.9 112.8 112.5,38.69,38.69,38.7,0,0,0,1,20.4,52
CompilationBenchmarksSmallNightly,implicitInductive,150,1,918.6 900.1 895.3 893.9 896.5 910.1 901.5 918.9 911.2 906.6,76.83,76.84,76.84,0,0,0,1,63.5,175
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,583.7 582.6 582.2 583 582.1 581.7 583.2 581.4 581.9 581.7,115,115,115,0,0,0,5,55.1,156
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,337.2 349.7 337.3 339.7 335.9 333.1 333.7 333.2 336.2 332.6,81.33,81.35,81.52,0,0,0,13,143.4,544
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,235.4 234.7 234.8 234.6 234.5 235.4 248.2 247.9 242.9 235.6,69.27,69.27,69.27,0,0,0,1,40.9,136
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,147.7 148.5 147.5 148.1 147.3 147.2 147.2 147.2 147.9 148.6,49.27,49.27,49.27,0,0,0,1,30.7,116
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,139.1 146.2 140.1 138.2 137.7 137.3 137.5 138 136.7 138.1,44.05,44.06,44.06,0,0,0,1,23.1,68
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,139 139.9 139.1 139.2 139 138.9 138.9 137.6 138 139.5,44.19,44.19,44.2,0,0,0,0,21.3,59
CompilationBenchmarksSmallWeekly,findRef,150,1,105.9 111.4 104.6 105.1 113.6 108 107.8 106.4 106.1 106.6,33.78,33.78,33.78,0,0,0,2,30.4,119
CompilationBenchmarksSmallWeekly,i1535,150,1,176.1 176 176.1 175.9 176.3 175.3 174.4 176.6 175.6 175.8,53.03,53.03,53.04,0,0,0,2,47.8,103
CompilationBenchmarksSmallWeekly,i1687,150,1,112.6 112.2 111.6 111.7 111.8 110.8 111.2 111 111 112.1,36.47,36.47,36.47,0,0,0,1,13.9,32
CompilationBenchmarksSmallWeekly,implicitCache,150,1,136.1 159.9 137.6 132.8 132.6 131.9 132.7 132 131.4 132.2,44.01,44.01,44.01,0,0,0,2,25,66
CompilationBenchmarksSmallWeekly,implicitNums,150,1,333.7 333.6 332.2 332.7 332.7 332.6 333.2 332.7 332.1 333,88.59,88.6,88.6,0,0,0,1,40.1,166
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,138.2 138.7 138.4 139 137.5 137.9 136.3 138.1 138.1 137.1,44.48,44.48,44.49,0,0,0,2,25.2,52
CompilationBenchmarksSmallWeekly,tuple,150,1,179.8 178.9 179 178.8 178.2 178 178.2 178.4 179.2 178.7,55.29,55.3,55.3,0,0,0,5,27.8,64
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,139.3 138.9 138.4 139 138.5 138.2 137.4 138.4 137.7 138.9,44.27,44.27,44.27,0,0,0,2,25.2,72
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,169.1 168.1 167.8 167.9 166.1 166.5 166.1 166.1 166.1 166.1,50.65,50.65,50.66,0,0,0,0,23,145
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,106.6 106.5 104.5 104.7 104.8 104.5 104.4 104.5 104.4 104.4,37.12,37.12,37.12,0,0,0,2,13.8,50
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,127.8 129 127.9 127.4 128 126.8 127.6 127.8 126.7 127.5,41.98,41.98,41.98,0,0,0,3,30.8,63
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,165.5 165.8 165.9 181.7 171.4 164.7 164.4 164.2 173.1 167.6,52.88,52.88,52.89,0,0,0,5,35.9,101
