suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27692 27296 27184 27186 27183 27413 27592 27112 27115 27110 27139 27293 27691 27544 27678 27837 27681 27280 27114 27106,4342,4342,4342,0,0,0,1183,1325,1636
CompilationBenchmarksBigNightly,caskApp,150,1,580.4 614.3 581.8 602.9 616.4 586.2 588.5 585 582.9 584.5 583.7 584.9 581.6 583 582.8 576.7 573 573.5 582.2 581.6,110.2,110.2,110.2,0,0,0,6,98.2,304
CompilationBenchmarksBigNightly,dottyUtils,170,1,1101 1106 1104 1104 1105 1104 1103 1102 1104 1103 1103 1103 1101 1103 1103 1103 1097 1102 1127 1182,158.2,158.2,158.2,0,0,0,0,104.8,817
CompilationBenchmarksBigNightly,fansi,150,1,1368 1368 1368 1457 1415 1375 1367 1372 1368 1386 1369 1369 1368 1367 1365 1367 1366 1378 1369 1363,204.8,204.8,205,0,0,0,451,585.8,1068
CompilationBenchmarksBigNightly,parallelCollections,100,1,4609 4608 4605 4607 4620 4601 4602 4602 4597 4603 4596 4600 4597 4597 4596 4713 4726 4816 4817 4743,598.4,598.4,598.4,0,0,0,4,88.8,265
CompilationBenchmarksBigNightly,re2s,120,1,1856 1856 1863 1861 1849 1843 1851 1873 1874 1860 1856 1869 1859 1859 1891 1854 1854 1875 1852 1850,260.3,260.4,260.5,0,0,0,4,185.8,874
CompilationBenchmarksBigNightly,scalaToday,150,1,3359 3359 3358 3358 3358 3356 3357 3356 3358 3357 3356 3358 3357 3355 3356 3355 3355 3355 3356 3354,493.8,493.9,493.9,0,0,0,16,83.5,222
CompilationBenchmarksBigNightly,scalaYaml,80,1,4559 4557 4554 4553 4555 4564 4552 4553 4550 4552 4551 4551 4553 4552 4550 4554 4546 4549 4558 4549,565,565.1,565.3,0,0,0,12,157.8,557
CompilationBenchmarksBigNightly,sourcecode,170,1,949.7 947.8 950.9 949.9 949.5 948 948.5 948.6 937.8 947.3 946.7 946.5 943.5 960 946.3 945.4 946.5 946.4 945.6 946.3,164.6,164.6,164.8,0,0,0,0,88.75,365
CompilationBenchmarksBigNightly,tastyQuery,60,1,5287 5433 5395 5261 5214 5197 5198 5195 5197 5192 5194 5194 5192 5196 5195 5196 5193 5195 5189 5190,655.4,655.4,655.6,0,0,0,18,209.2,578
CompilationBenchmarksBigNightly,tictactoe,150,1,1201 1166 1162 1159 1157 1158 1158 1156 1168 1163 1165 1156 1172 1156 1158 1161 1159 1158 1177 1746,215.8,215.9,215.9,0,0,0,75,284.5,1425
