suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27451 27529 26905 26546 27457 27536 27682 27322 26810 26921,4475,4476,4476,0,0,0,923,1036,1202
CompilationBenchmarksBigNightly,caskApp,150,1,625.1 622.9 622.2 622.9 622.1 622.9 638.6 622.4 624.6 623.7,165.2,165.3,165.3,0,0,0,11,85.6,270
CompilationBenchmarksBigNightly,dottyUtils,170,1,1188 1193 1196 1149 1151 1150 1149 1149 1151 1159,206.4,206.5,206.5,0,0,0,2,64.3,223
CompilationBenchmarksBigNightly,fansi,150,1,1384 1383 1384 1385 1384 1384 1381 1383 1382 1544,241.5,241.5,241.5,0,0,0,358,415.8,505
CompilationBenchmarksBigNightly,parallelCollections,100,1,4571 4571 4569 4569 4576 4570 4571 4602 4571 4568,670.4,670.4,670.4,0,0,0,9,79.4,220
CompilationBenchmarksBigNightly,re2s,120,1,1885 1895 1893 1892 1891 1911 1885 1904 1902 1887,324.1,324.1,324.1,0,0,0,17,139.1,315
CompilationBenchmarksBigNightly,scalaToday,150,1,3751 3725 4402 3618 3572 3607 3622 3523 3479 3460,603.4,603.4,603.4,0,0,0,30,139.1,397
CompilationBenchmarksBigNightly,scalaYaml,80,1,4557 4509 4508 4505 4507 4509 4498 4506 4504 4504,628.9,628.9,628.9,0,0,0,75,236.8,508
CompilationBenchmarksBigNightly,sourcecode,170,1,976.8 983.3 976.4 980.1 975.9 975.6 976.5 982.8 989.7 978,209.1,209.1,209.1,0,0,0,1,102.5,422
CompilationBenchmarksBigNightly,tastyQuery,60,1,5465 5318 5231 5300 5289 5270 5272 5274 5273 5427,739.9,740,740,0,0,0,57,262.3,918
CompilationBenchmarksBigNightly,tictactoe,150,1,1325 1240 1236 1236 1236 1235 1235 1236 1233 1235,324.8,324.8,324.8,0,0,0,64,176.1,390
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1216 1217 1217 1215 1215 1214 1223 1214 1215 1215,427.8,427.9,428,0,0,0,10,143.1,558
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1562 1565 1564 1562 1573 1560 1562 1591 1560 1559,281.1,281.1,281.1,0,0,0,8,158.4,500
CompilationBenchmarksBigWeekly,scalaz,60,1,27398 27614 27431 27699 27281 27575 27596 27744 27999 27917,4103,4106,4109,2,2.8,3,55,223.4,548
CompilationBenchmarksSmallNightly,helloWorld,150,1,172.5 171.8 171.3 171.2 169.3 171.1 171.3 170.9 172 170.7,66.66,66.66,66.66,0,0,0,2,23.8,60
CompilationBenchmarksSmallNightly,implicitInductive,150,1,959.8 943.5 941.3 940 940 940.2 939.7 937.6 936.8 937.4,106.4,106.4,106.4,0,0,0,3,55.7,147
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,655.6 656.1 654.7 657.1 654.6 655 657.6 656.5 654.7 654.1,147.4,147.4,147.4,0,0,0,12,57.2,151
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,399.1 398.7 402 403.2 398.2 398.2 398.1 397.6 400.5 397.7,108.4,108.4,108.5,0,0,0,14,113.9,458
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,307.8 300.3 299.4 299 299.3 300 298.4 298.7 299.7 296.8,100.3,100.3,100.4,0,0,0,1,52.1,178
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,204.3 204.9 204.8 204.5 204.9 205.5 204.5 204.6 203.9 204,79.01,79.01,79.01,0,0,0,0,32,111
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,197.6 197.3 198.1 201.1 197 195.9 196.5 197.1 193.8 196.9,72.69,72.7,72.7,0,0,0,2,36.3,130
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,199.2 198.7 198 198.7 198.2 197.3 198.3 198.2 197.9 197.9,73.94,73.94,73.94,0,0,0,0,24.2,62
